unit,time,op_setting_1,op_setting_2,op_setting_3,sensor_2,sensor_3,sensor_4,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_17,sensor_20,sensor_21,kmeans_cluster,agglo_cluster,kmeans_stage,agglo_stage,pca_1,pca_2,tsne_1,tsne_2
1,1,-0.0005,0.0004,100.0,0.3559718969555092,0.3705226071638314,0.3085803432137268,1.0,0.2088122605363978,0.6235294117645935,0.2042334889309955,0.3333333333333357,0.3485714285714287,0.2312786551197128,0.6428571428573377,0.2391156284381992,0.6477547078705932,0.2727272727272734,0.5595238095238066,0.4463308284627523,4,2,Stage 4,Stage 2,-0.18888154931390422,-0.10242691732398934,-33.26903,-7.125171
1,2,0.0008,-0.0003,100.0,0.3887587822013927,0.3990996281072654,0.3093603744149789,1.0,0.2365900383141728,0.647058823529278,0.2024310209363591,0.3333333333333357,0.3085714285714296,0.2368823229750347,0.6547619047621538,0.2785665636296954,0.6856591018831502,0.3636363636363668,0.4880952380952372,0.5348362556823467,4,2,Stage 4,Stage 2,-0.14345676676821317,-0.06651769084762371,-8.921116,-1.7119685
1,3,-0.0014,-0.0002,100.0,0.3138173302107532,0.3532981013897043,0.445397815912635,1.0,0.2308429118773922,0.6647058823530188,0.2414844941535321,0.3333333333333357,0.302857142857146,0.2170147733061611,0.636904761904816,0.2645255933357759,0.5644616127474649,0.2727272727272734,0.4047619047619015,0.4585768624176651,4,2,Stage 4,Stage 2,-0.17330224613139844,-0.062061229504732474,-38.941288,2.5295944
1,4,-0.002,0.0001,100.0,0.4871194379390999,0.4171070659620284,0.2372854914196551,1.0,0.2681992337164764,0.647058823529278,0.2153255996672314,0.3333333333333357,0.3142857142857167,0.2404482934284253,0.6845238095238528,0.2456121967831492,0.5589087397392589,0.3636363636363668,0.4702380952380913,0.3919658595417026,4,2,Stage 4,Stage 2,-0.126934665948647,-0.05519098588435556,-9.974409,10.8977375
1,5,0.0016,0.0,100.0,0.196721311475386,0.4762184380505019,0.3212168486739486,1.0,0.2456896551724128,0.6705882352939625,0.2687988168415174,0.3333333333333357,0.2628571428571433,0.2450331125827816,0.6547619047621538,0.2521087651280922,0.5567358763882204,0.3636363636363668,0.577380952380949,0.5433713702569847,2,2,Stage 2,Stage 2,-0.09366923417719897,-0.18909744566287967,4.310718,-8.701614
1,6,0.0011,-0.0005,100.0,0.3278688524590052,0.3873556468976318,0.3580343213728554,1.0,0.2461685823754784,0.647058823529278,0.2634376299856669,0.3333333333333357,0.2171428571428606,0.2368823229750347,0.6488095238096321,0.2370199612301533,0.6250603573153093,0.4545454545454532,0.4464285714285694,0.5153539289358946,4,2,Stage 4,Stage 2,-0.1387466332798435,-0.07467333359470507,17.219141,1.221171
1,7,-0.0038,0.0002,100.0,0.407494145199081,0.4171070659620284,0.3748829953198118,1.0,0.2380268199233732,0.6705882352939625,0.2619124647594333,0.3333333333333357,0.3942857142857185,0.2389200203769768,0.6488095238096321,0.2481793891130053,0.5502172863351049,0.2727272727272734,0.3988095238095219,0.4973559699415553,4,2,Stage 4,Stage 2,-0.10699702894511542,-0.029980856143544066,-34.012466,1.7538133
1,8,-0.0007,-0.0005,100.0,0.3466042154566935,0.4701507144255217,0.312324492979716,0.9375,0.2509578544061313,0.6823529411763047,0.2105652354762668,0.3333333333333357,0.3542857142857194,0.2205807437595517,0.6190476190474783,0.3020904280400245,0.6342346692419127,0.2727272727272734,0.5238095238095184,0.5440207811485287,4,2,Stage 4,Stage 2,-0.11757250505411654,-0.11481452593950692,-28.186434,-1.5220507
1,9,-0.0026,0.0,100.0,0.1873536299765703,0.4601683303973374,0.4594383775351005,1.0,0.2164750957854408,0.6705882352939625,0.2274807043490341,0.3333333333333357,0.3542857142857194,0.2068262862964864,0.6428571428573377,0.2489652643160198,0.6103331723804928,0.3636363636363668,0.4880952380952372,0.5535763985527424,4,2,Stage 4,Stage 2,-0.11025875039423472,-0.0544281359380121,0.68620324,3.2942717
1,10,0.0019,-0.0002,100.0,0.3700234192037328,0.4519475435505988,0.3929797191887658,1.0,0.2476053639846718,0.6411764705881069,0.2406063687202504,0.3333333333333357,0.3771428571428608,0.2134488028527776,0.6309523809522943,0.278618955309895,0.5852245292129403,0.2727272727272734,0.4583333333333286,0.5617404211893522,4,2,Stage 4,Stage 2,-0.1017414616697212,-0.062312067589989306,-29.109077,0.69686806
1,11,0.0026,-0.0002,100.0,0.3372365339578209,0.3538853004501874,0.2312012480499241,1.0,0.224616858237546,0.6529411764706765,0.2322872856680646,0.3333333333333357,0.3771428571428608,0.2272032603158429,0.6547619047621538,0.234976685702307,0.6450989859971052,0.3636363636363668,0.4761904761904745,0.5010668893218302,4,2,Stage 4,Stage 2,-0.16870822700663424,-0.08654651958082216,-7.9194694,-2.8666124
1,12,-0.0036,-0.0004,100.0,0.2435597189695499,0.3707183401839913,0.3226209048361923,0.9375,0.2270114942528742,0.6705882352939625,0.2647317095715635,0.3333333333333357,0.3257142857142874,0.2221090168110038,0.625,0.2586053334730422,0.4893771125060375,0.3636363636363668,0.5476190476190474,0.4577419055571035,4,2,Stage 4,Stage 2,-0.12248702280513624,-0.1694853828121058,-15.033045,-7.410797
1,13,-0.0011,0.0001,100.0,0.2529274004683657,0.4967704051673536,0.2884555382215268,1.0,0.2351532567049794,0.6352941176469358,0.224384156768501,0.3333333333333357,0.2571428571428598,0.2185430463576132,0.6488095238096321,0.2734845706501758,0.5451472718493484,0.2727272727272734,0.5178571428571388,0.5146117450598382,4,2,Stage 4,Stage 2,-0.16021164497127205,-0.1837711517362962,-23.520668,-12.074903
1,14,0.0009,0.0001,100.0,0.4262295081967124,0.4499902133489932,0.3719188767550712,1.0,0.2662835249042139,0.6588235294116203,0.2281277441419789,0.3333333333333357,0.3371428571428616,0.2429954151808431,0.6190476190474783,0.2538376905747341,0.6552390149686147,0.1818181818181798,0.5119047619047592,0.4762965024584851,4,2,Stage 4,Stage 2,-0.14336442479121225,-0.07717433722502487,-50.59993,10.665717
1,15,-0.005,0.0004,100.0,0.3512880562061014,0.3229594832648281,0.3032761310452407,1.0,0.2083333333333357,0.6176470588234224,0.2399131117992254,0.3333333333333357,0.3428571428571452,0.2521650534895592,0.636904761904816,0.2669356106250333,0.5900531144374703,0.1818181818181798,0.5059523809523796,0.5408664996752961,4,2,Stage 4,Stage 2,-0.18807236127201343,-0.18312593838467883,-40.19544,-8.482396
1,16,0.0024,0.0003,100.0,0.196721311475386,0.4505774124094728,0.2875195007800322,0.9375,0.2016283524904238,0.6588235294116203,0.2456902528076838,0.3333333333333357,0.2571428571428598,0.2297503820682607,0.625,0.250537014722056,0.6359246740704982,0.2727272727272734,0.4702380952380913,0.4630299656739964,4,2,Stage 4,Stage 2,-0.23148469348755407,-0.1532612264861395,-22.70807,-12.604539
1,17,-0.0019,0.0001,100.0,0.2482435597189578,0.5249559600704607,0.2811232449297947,1.0,0.2610153256704954,0.647058823529278,0.1976244396173214,0.3333333333333357,0.1771428571428579,0.2144676515537433,0.5952380952380736,0.288049457746105,0.5306615161757584,0.4545454545454532,0.5178571428571388,0.4631227386585053,4,2,Stage 4,Stage 2,-0.1405790903764259,-0.15105656520422472,18.41866,-1.2025371
1,18,-0.0036,0.0002,100.0,0.362997658079621,0.286944607555295,0.3928237129485161,1.0,0.2203065134099624,0.6294117647057647,0.2675509543836938,0.3333333333333357,0.2914285714285753,0.2256749872643944,0.6428571428573377,0.2698695447162933,0.6378561081603102,0.3636363636363668,0.5654761904761862,0.6236200018554605,4,2,Stage 4,Stage 2,-0.11560788352292994,-0.1431967510867702,-16.023113,-4.433595
