unit,time,op_setting_1,op_setting_2,op_setting_3,sensor_2,sensor_3,sensor_4,sensor_6,sensor_7,sensor_8,sensor_9,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_17,sensor_20,sensor_21,kmeans_cluster,agglo_cluster,pca_1,pca_2,tsne_1,tsne_2,final_stage,y_true,y_pred,prob_stage4,confidence
2,143,0.0001,0.0004,100.0,0.3313253012047994,0.3889252234576048,0.3079000675219454,1.0,0.6763285024154584,0.1969696969699725,0.1615812617786929,0.2678571428571423,0.6481876332622676,0.25,0.1972855815873657,0.3774528664871113,0.4166666666666714,0.5271317829457338,0.7256282794808016,4,2,-0.3138224102990772,-0.0090799391005329,-45.606007,15.3730135,3,3,4,0.7475744355774349,0.7475744355774349
2,147,0.0004,-0.0001,100.0,0.319277108433738,0.3867451493350771,0.2081363943281537,1.0,0.6940418679549083,0.2272727272729753,0.1504980705375587,0.375,0.6865671641790954,0.2647058823527004,0.1787594178965861,0.2489419007310545,0.4166666666666714,0.5813953488372086,0.6095001380833978,1,1,-0.3413712658832994,-0.0398780177865244,-44.95411,5.591217,4,4,3,0.45976971570576886,0.5358541135261656
2,168,-0.0026,-0.0003,100.0,0.4036144578313099,0.4994549814693769,0.3673193787981077,1.0,0.7198067632850353,0.2121212121210192,0.1532352149331401,0.2678571428571423,0.6823027718550065,0.2352941176468448,0.1835586747858428,0.4155444401692989,0.25,0.5426356589147296,0.6690140845070403,4,2,-0.2887805813088978,-0.0132579268998595,-38.040947,27.173979,3,3,4,0.5803515741611299,0.5803515741611299
2,171,0.0012,0.0005,100.0,0.3012048192771033,0.3684325267059094,0.4741728561782565,1.0,0.6425120772946968,0.1969696969699725,0.1740105896078247,0.2916666666666678,0.6823027718550065,0.2058823529409892,0.2237072969346698,0.2993459022701046,0.3333333333333357,0.5968992248061973,0.5423916045291364,4,2,-0.281404932009729,0.0199277878932861,-44.341976,0.38278306,3,3,4,0.5273205408647005,0.5273205408647005
2,172,-0.0041,0.0004,100.0,0.2590361445783173,0.4006976237192106,0.2702565833896031,1.0,0.6183574879227081,0.2424242424240219,0.1524275329803472,0.2380952380952372,0.5820895522387985,0.3088235294117112,0.1759211476932591,0.3308964986533311,0.3333333333333357,0.7364341085271313,0.6288318144159035,1,1,-0.3580365191104648,-0.0802321273921778,-37.960068,-6.6996794,4,4,3,0.3698642550116235,0.626847864512312
2,174,-0.0009,-0.0003,100.0,0.3403614457831452,0.3699585785916781,0.3543214044564493,1.0,0.6296296296296333,0.2727272727270247,0.2004397379520739,0.2738095238095255,0.6737739872068289,0.2352941176468448,0.2314480338528213,0.2866487110427087,0.5,0.6821705426356601,0.6311792322562795,4,2,-0.2971923277189358,0.0238410945805627,-37.797783,4.3091407,3,3,4,0.6033716218581223,0.6033716218581223
2,177,0.0004,-0.0001,100.0,0.3433734939759176,0.3453237410071992,0.3048615800135046,1.0,0.7632850241545981,0.2424242424240219,0.1627030422686886,0.3392857142857153,0.6950959488273014,0.2352941176468448,0.2015687893487481,0.3478260869565233,0.4166666666666714,0.4651162790697682,0.6346313173156588,4,2,-0.296130134929362,-0.0035739219998408,-39.406425,13.601631,3,3,4,0.5134871765232719,0.5134871765232719
2,183,-0.0015,-0.0002,100.0,0.4186746987951721,0.3032483104425623,0.4034436191762331,1.0,0.7246376811594217,0.2727272727270247,0.1902090998833401,0.2321428571428576,0.6716417910447774,0.2647058823527004,0.2183403860047477,0.3755290496344727,0.3333333333333357,0.550387596899224,0.6778514222590459,4,2,-0.3039639083654659,-0.0076626096839795,-42.418087,-12.295195,3,3,4,0.5293053259851299,0.5293053259851299
2,192,0.0003,0.0002,100.0,0.2921686746987859,0.4122520165685657,0.3683322079675868,0.0,0.5217391304347814,0.1969696969699725,0.2250291662927352,0.3809523809523831,0.6417910447761273,0.3088235294117112,0.2160697698420932,0.4078491727587519,0.3333333333333357,0.5658914728682127,0.5671085335542685,1,3,-0.2295105955774451,0.2700614314815904,-2.534376,68.44971,4,4,3,0.12642591622006105,0.8391666040895631
2,203,0.0048,0.0001,100.0,0.2228915662650763,0.4791802921299322,0.4740040513166761,1.0,0.5394524959742455,0.2272727272729753,0.218477968231177,0.4345238095238102,0.579957356076747,0.3529411764702672,0.1926411394364748,0.3647556752597225,0.4166666666666714,0.4341085271317837,0.366473349903341,4,1,0.016431584323805,-0.000804383606193,-5.0626035,7.891234,3,3,2,0.013214718928356262,0.495257468600128
