unit,time,op_setting_1,op_setting_2,op_setting_3,sensor_2,sensor_3,sensor_4,sensor_6,sensor_7,sensor_8,sensor_9,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_17,sensor_20,sensor_21,kmeans_cluster,agglo_cluster,pca_1,pca_2,tsne_1,tsne_2,final_stage,y_true,y_pred,prob_Stage4,confidence
2,219,0.0029,0.0001,100.0,0.5030120481927725,0.4682799215173361,0.5175557056043232,1.0,0.5523349436392806,0.1818181818180164,0.2363815848514789,0.5119047619047628,0.6503198294243049,0.3529411764702672,0.2465682732996228,0.5198153135821499,0.4166666666666714,0.4961240310077528,0.6583816625241639,4,1,0.0434603808968225,0.0623703431091498,10.221019,14.545738,3,3,2,0.0005696203462662131,0.6973071666152789
2,257,0.0,-0.0002,100.0,0.5572289156626482,0.4824504033137202,0.7543889264010808,1.0,0.3768115942029055,0.3636363636360329,0.2920667683747666,0.696428571428573,0.4818763326226047,0.3823529411761228,0.3002373825988229,0.6148518661023488,0.5833333333333357,0.3875968992248033,0.4406241369787338,3,4,0.5315444477234021,0.08885955216619,60.907116,14.523719,1,1,0,0.0034075658295654302,0.4087197129110368
2,265,-0.0035,0.0004,100.0,0.5481927710843308,0.4892086330935257,0.6417960837272112,1.0,0.41867954911433,0.4242424242420384,0.2870411917795934,0.4821428571428541,0.3368869936034002,0.3529411764702672,0.3114872535865416,0.7449018853405178,0.5833333333333357,0.4031007751937956,0.2016017674675474,3,0,0.5686517147181518,0.0920940035452301,60.564625,26.032087,1,1,0,0.0009235991046357201,0.7003808429215668
2,266,0.002,-0.0001,100.0,0.5813253012048278,0.4469151951166381,0.6801147873058753,1.0,0.3204508856682793,0.3030303030300274,0.2773938795656434,0.5892857142857153,0.3901918976545744,0.4117647058819784,0.2999277531220983,0.5236629472874199,0.75,0.2868217054263517,0.3967136150234722,3,4,0.5641432691440054,0.0924029397144467,54.38428,23.943308,1,1,0,0.0010994073123204177,0.7416099271726373
2,268,0.0006,-0.0,100.0,0.569277108433738,0.6865053411816007,0.630654962862927,1.0,0.3623188405797037,0.3939393939390356,0.284214304944804,0.6607142857142883,0.4776119402985017,0.397058823529278,0.3168025596036727,0.723355136590996,0.5833333333333357,0.3178294573643363,0.4135597901132257,2,0,0.6075600885804081,0.1140144839669125,58.540283,18.547712,0,0,1,0.00031341697456847064,0.7167727692045812
9,141,-0.002,-0.0001,100.0,0.4096385542168832,0.3974275125354296,0.3462187711006059,1.0,0.7198067632850353,0.1212121212120109,0.3271560621017642,0.2619047619047627,0.7569296375266532,0.1176470588234224,0.3671689544844696,0.4601769911504405,0.5,0.6279069767441854,0.50524716929025,4,2,-0.269880732722699,0.2883134007468234,-1.3904052,35.454243,3,3,4,0.4876095593195855,0.5088986552875525
9,145,0.0024,-0.0004,100.0,0.286144578313241,0.454763461957711,0.2903443619176222,1.0,0.6876006441223836,0.0909090909090082,0.3151305752490287,0.2976190476190474,0.6737739872068289,0.2205882352941444,0.3895654866343321,0.4397845325125047,0.3333333333333357,0.5581395348837184,0.4987572493786274,4,1,-0.2696256328178357,0.24933273415757,-1.7103395,36.757664,3,3,4,0.3949513170664056,0.6025050647869066
9,167,0.0025,-0.0001,100.0,0.4819277108433653,0.3917593198168774,0.3543214044564493,1.0,0.7246376811594217,0.2121212121210192,0.4535582877142587,0.3928571428571423,0.4754797441364502,0.3088235294117112,0.5020125915987137,0.5232781839168936,0.4166666666666714,0.5116279069767415,0.3144159072079517,4,0,0.0562658537062311,0.3567034711226713,22.232906,37.937347,3,3,2,0.00196912474033639,0.6839949621745707
9,177,-0.0047,0.0003,100.0,0.4879518072289386,0.5406583823850042,0.4383862255232955,1.0,0.5942028985507193,0.257575757575978,0.5647491698824396,0.3452380952380949,0.5906183368870046,0.294117647058556,0.5794715656930549,0.4267025779145825,0.6666666666666714,0.5813953488372086,0.4029273681303493,0,1,0.1098661919753029,0.5070468298209926,24.919268,39.307293,2,2,0,0.006393778910338904,0.5815565352652495
10,196,0.0002,-0.0002,100.0,0.6506024096385659,0.5373882712012232,0.5597569209993267,1.0,0.4621578099838928,0.3333333333330301,0.2964641478955343,0.6130952380952408,0.3006396588486097,0.2794117647058556,0.3511714315202781,0.4713351288957312,0.5833333333333357,0.3875968992248033,0.4458713062689838,0,4,0.4467173071610879,0.1471771359955221,44.762203,21.441545,2,2,0,0.00048787098144285966,0.6103610801411552
10,203,0.0028,-0.0001,100.0,0.7289156626505928,0.6202310878569932,0.6779203241053366,1.0,0.3220611916264033,0.378787878787989,0.320739477699,0.7619047619047628,0.4328358208955194,0.4264705882351336,0.3307874909691435,0.5563678337822253,0.5,0.3953488372093012,0.5103562551781238,2,4,0.6021651723811369,0.1077102421421954,64.13458,20.787361,0,0,1,0.0004331443207567587,0.7110767769797828
11,121,0.001,-0.0,100.0,0.466867469879503,0.2476564203182931,0.3452059419311268,1.0,0.6215780998389704,0.1818181818180164,0.1825809925513795,0.2916666666666678,0.7718550106609712,0.2647058823527004,0.2297450717308322,0.3116583301269742,0.4166666666666714,0.5891472868217029,0.5824357912178968,4,2,-0.3045779690599172,0.0224933054186503,-43.359306,7.444849,3,3,4,0.3269425535304632,0.6720386555240973
11,137,0.0001,-0.0004,100.0,0.1506024096385658,0.2892958360584288,0.3617488183659709,1.0,0.6296296296296333,0.2727272727270247,0.2230548326303534,0.2500000000000035,0.6716417910447774,0.25,0.2446072866136859,0.3555213543670632,0.3333333333333357,0.5348837209302282,0.4842584921292499,4,2,-0.3073259464967358,0.020075302871393,-33.82024,9.413482,3,3,4,0.36590660415561527,0.6326869393753743
