unit,time,op_setting_1,op_setting_2,op_setting_3,sensor_2,sensor_3,sensor_4,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_17,sensor_20,sensor_21,kmeans_cluster,agglo_cluster,pca_1,pca_2,tsne_1,tsne_2,final_stage,y_true,y_pred,prob_stage4,confidence,prob_Stage4
8,29,0.0046,0.0001,100.0,0.377049180327873,0.5014679976512042,0.441341653666143,1.0,0.1786398467432945,0.7647058823527004,0.1121227526921444,0.3333333333333357,0.3714285714285772,0.1930718288334141,0.6904761904763745,0.1515167391418188,0.6108160309029458,0.4545454545454532,0.3988095238095219,0.4110770943501265,4,4,-0.1290091642455222,0.128592201548037,3.896726,23.242859,4,4,3,0.47553742375058117,0.567359470988304,0.41222666421390497
20,27,0.0002,-0.0,100.0,0.2903981264637139,0.4771971031513047,0.3321372854914166,0.9375,0.3577586206896583,0.647058823529278,0.1799694966954774,0.3333333333333357,0.2285714285714313,0.3000509424350461,0.6488095238096321,0.2119243464137881,0.5497344278126519,0.2727272727272734,0.4464285714285694,0.5431858242879706,4,2,-0.1010021513333412,-0.2139664578848067,0.121913075,-39.896946,4,4,2,0.3361184933490714,0.5238543692860056,0.4725388149112968
20,35,0.0007,-0.0004,100.0,0.3138173302107532,0.2387942845958122,0.3767550702028082,0.9375,0.2643678160919549,0.694117647058647,0.1837130840689553,0.3333333333333357,0.2971428571428589,0.3163525216505363,0.6309523809522943,0.2158013307486754,0.524384355383873,0.3636363636363668,0.4999999999999964,0.5389182670006498,4,1,-0.1005728176647322,-0.2020176517762739,10.8273325,-23.30695,4,4,2,0.38245671853780056,0.5203633579049245,0.4764029551953323
20,100,0.0002,-0.0002,100.0,0.257611241217802,0.4055588177725582,0.3156006240249596,0.9375,0.2696360153256698,0.647058823529278,0.1666127466839242,0.3333333333333357,0.360000000000003,0.2847682119205288,0.6547619047621538,0.2141247969822401,0.5760502172863369,0.3636363636363668,0.6011904761904745,0.4673902959458225,4,2,-0.0919849733617999,-0.1655519525120091,4.7539244,-6.239217,4,4,2,0.4134218358309226,0.5093378276366911,0.486125274750909
20,102,-0.0019,-0.0004,100.0,0.4355971896955566,0.329418672930128,0.3029641185647413,0.9375,0.3002873563218386,0.6117647058822513,0.1660119240190383,0.3333333333333357,0.1657142857142872,0.3041263372389196,0.6488095238096321,0.2285325090375636,0.4297440849831027,0.1818181818181798,0.5059523809523796,0.602746080341408,4,1,-0.1338592274941568,-0.3477501195292537,-13.0130825,-30.450554,4,4,2,0.2929672615940499,0.6003826538203385,0.3988343531109845
20,138,0.0027,-0.0003,100.0,0.2927400468384178,0.2317478958700363,0.3907956318252701,0.9375,0.3261494252873547,0.6588235294116203,0.1782594629569658,0.3333333333333357,0.2971428571428589,0.2878247580234294,0.6488095238096321,0.2107193377691558,0.5321100917431174,0.3636363636363668,0.4821428571428541,0.5368772613414983,4,1,-0.1006989055505027,-0.2041733536550446,10.719812,-23.293793,4,4,2,0.3127221916184498,0.5257995129326103,0.4707484187930067
20,272,-0.0003,0.0003,100.0,0.4309133489461203,0.5104717165785893,0.5652106084243371,0.875,0.5234674329501914,0.7529411764703582,0.2733743125202181,0.3333333333333357,0.457142857142859,0.4803871625063713,0.7261904761905953,0.2813957143605563,0.3833896668276182,0.4545454545454532,0.5952380952380949,0.636700992670935,3,2,0.4015649257947935,-0.1393549706239879,38.620216,-61.2553,1,1,2,0.0001019280800286801,0.6933402072999925,1.8808299285469635e-06
20,273,-0.0004,0.0004,100.0,0.4519906323184841,0.4188686631434741,0.4677067082683308,0.875,0.5033524904214559,0.7529411764703582,0.3156629847021293,0.3333333333333357,0.5314285714285738,0.4987264391237858,0.75,0.3080106879027582,0.4681313375181055,0.6363636363636402,0.5833333333333286,0.6492253455793673,3,2,0.4308097687559316,-0.0702258581465138,39.139027,-67.263435,1,1,2,0.0,0.5461298944622508,1.3600036872137213e-06
24,318,-0.0016,-0.0002,100.0,0.2529274004683657,0.5012722646310444,0.1940717628705144,0.75,0.2461685823754784,0.6411764705881069,0.1499283634514938,0.3333333333333357,0.240000000000002,0.2007131940906781,0.625,0.2140724053020335,0.4299855142443292,0.4545454545454532,0.5595238095238066,0.5256517302161612,4,1,-0.1251469084216847,-0.2758793236036173,-7.4670835,-80.39837,4,4,2,0.8873566592758039,0.5487096339861037,0.44969772071065284
24,335,-0.001,-0.0002,100.0,0.2997658079625296,0.3521237032687416,0.3076443057722287,0.8125,0.2964559386973171,0.6352941176469358,0.1915699958404602,0.3333333333333357,0.2742857142857176,0.2873153336729466,0.6666666666669698,0.2199926651647672,0.5340415258329294,0.2727272727272734,0.6130952380952372,0.4455886445866994,4,1,-0.1219481814135479,-0.2726545170689243,-19.424938,-47.0805,4,4,2,0.38779189333962244,0.5217520163780284,0.47661615083458136
