unit,time,y_true,y_pred,prob_Stage4,confidence
10,83,Stage 1,Stage 4,0.9133443773529148,0.9133443773529148
10,88,Stage 1,Stage 4,0.7649922495853638,0.7649922495853638
10,104,Stage 1,Stage 4,0.5011556968705556,0.5011556968705556
10,114,Stage 1,Stage 4,0.9003952990239945,0.9003952990239945
10,115,Stage 1,Stage 4,0.5521188592866424,0.5521188592866424
10,117,Stage 1,Stage 4,0.5863681245152799,0.5863681245152799
10,124,Stage 1,Stage 4,0.7060336734086293,0.7060336734086293
10,125,Stage 1,Stage 4,0.7989178587618131,0.7989178587618131
10,126,Stage 4,Stage 1,0.11042615626678597,0.8895738437332141
10,128,Stage 4,Stage 1,0.1634129373782332,0.836587062621767
10,137,Stage 4,Stage 1,0.056206155729990284,0.9437938442700098
10,138,Stage 4,Stage 1,0.3468831279794683,0.6529196917736363
10,139,Stage 4,Stage 1,0.06555100002910842,0.9344489999708915
10,143,Stage 1,Stage 4,0.5823518382996854,0.5823518382996854
10,144,Stage 4,Stage 1,0.42499586356790503,0.5744012123621423
10,145,Stage 4,Stage 1,0.19543710774609063,0.8045628922539094
10,147,Stage 4,Stage 1,0.4327210355150682,0.5670893106851222
10,154,Stage 1,Stage 4,0.5766716740142244,0.5766716740142244
10,155,Stage 4,Stage 0,0.47183531412226093,0.5249871984724299
10,160,Stage 4,Stage 0,0.30597452392881713,0.6908533311514896
10,165,Stage 4,Stage 0,0.21235631202219374,0.7850162990227266
10,174,Stage 4,Stage 0,0.1897947153270109,0.7716829791856415
10,176,Stage 0,Stage 4,0.527151759357438,0.527151759357438
10,178,Stage 4,Stage 0,0.011147334315900091,0.9410438445878017
10,182,Stage 0,Stage 4,0.7842193877534666,0.7842193877534666
10,190,Stage 0,Stage 2,0.0,0.43476491091137914
10,193,Stage 0,Stage 2,0.0,0.6427195146398568
10,194,Stage 2,Stage 0,0.0,0.39821431433726795
10,195,Stage 0,Stage 3,0.0,0.393964160371941
10,196,Stage 0,Stage 2,0.0,0.4971998672230107
10,197,Stage 0,Stage 2,0.0,0.4227937106675832
10,200,Stage 2,Stage 3,0.0,0.42993572295009436
10,206,Stage 2,Stage 3,0.0,0.5772948826307406
10,207,Stage 2,Stage 3,0.0,0.5458444214354549
10,208,Stage 2,Stage 3,0.0,0.6266237055483517
10,209,Stage 2,Stage 0,0.003937583152584172,0.8869462632889994
10,210,Stage 2,Stage 3,0.0,0.5284317582263363
10,213,Stage 2,Stage 3,0.0,0.6186293355903949
10,214,Stage 2,Stage 3,0.0,0.7346583393239108
10,215,Stage 2,Stage 3,0.0,0.6726553723091895
10,216,Stage 2,Stage 3,0.0,0.5802804879705785
10,218,Stage 2,Stage 3,0.0,0.5174050789876287
10,219,Stage 2,Stage 3,0.0,0.6660452841418789
10,220,Stage 2,Stage 3,0.0,0.6447503214165807
10,221,Stage 2,Stage 3,0.0,0.9262867141604014
12,5,Stage 4,Stage 0,0.29472018438573194,0.6856639142009464
12,11,Stage 4,Stage 0,0.029790070048628162,0.960387512586817
12,12,Stage 4,Stage 0,0.375303770020415,0.6230036230694789
12,26,Stage 4,Stage 0,0.4612380850493689,0.52710501678071
12,29,Stage 4,Stage 0,0.3019729590014785,0.6883742702727201
12,32,Stage 0,Stage 4,0.621941050917072,0.621941050917072
12,34,Stage 0,Stage 4,0.5504721710177151,0.5504721710177151
12,51,Stage 4,Stage 0,0.37665736746202017,0.6166021979409148
12,53,Stage 0,Stage 4,0.9408243829041157,0.9408243829041157
12,65,Stage 4,Stage 0,0.2942459315711477,0.7017131594098225
12,66,Stage 0,Stage 4,0.5847176629274767,0.5847176629274767
12,74,Stage 4,Stage 0,0.2802765864591962,0.7183100104135112
12,76,Stage 0,Stage 4,0.6234107986471917,0.6234107986471917
12,79,Stage 4,Stage 0,0.374792320757091,0.6234158950576607
12,84,Stage 0,Stage 4,0.71940288304382,0.71940288304382
12,89,Stage 4,Stage 0,0.17415306071989642,0.8045697096001005
12,94,Stage 0,Stage 4,0.5691350811773191,0.5691350811773191
12,118,Stage 0,Stage 2,7.56708025875945e-05,0.4620256316631338
12,128,Stage 0,Stage 3,0.0,0.782104859304847
12,129,Stage 0,Stage 2,0.0,0.6717614671851374
12,130,Stage 0,Stage 2,0.0,0.3699910271556252
12,131,Stage 3,Stage 2,0.0,0.6403905176960248
12,132,Stage 3,Stage 2,0.0,0.5992346005922894
12,137,Stage 0,Stage 3,0.0,0.6139615602644048
12,139,Stage 3,Stage 2,0.0,0.4776041824652097
12,141,Stage 3,Stage 2,0.0,0.556279274453083
12,142,Stage 3,Stage 2,0.0,0.5078480993632273
12,143,Stage 3,Stage 2,0.0,0.48051163902230104
12,144,Stage 3,Stage 2,0.0,0.6510535774213106
12,145,Stage 3,Stage 2,0.0,0.4516473988037712
12,146,Stage 3,Stage 0,0.0005185843572716799,0.5366618550937731
12,147,Stage 3,Stage 2,0.0,0.600809418064733
12,150,Stage 3,Stage 2,0.0,0.5358382189997666
17,96,Stage 1,Stage 4,0.5451715855064169,0.5451715855064169
17,121,Stage 1,Stage 4,0.5819817421418693,0.5819817421418693
17,122,Stage 1,Stage 4,0.8456578998145606,0.8456578998145606
17,123,Stage 4,Stage 1,0.020505892307485053,0.9794941076925149
17,126,Stage 1,Stage 4,0.5673171230355811,0.5673171230355811
17,127,Stage 1,Stage 4,0.8752415444576349,0.8752415444576349
17,128,Stage 1,Stage 4,0.6025175572943005,0.6025175572943005
17,130,Stage 4,Stage 1,0.24551120738771015,0.7544887926122903
17,132,Stage 1,Stage 4,0.5396996120522555,0.5396996120522555
17,134,Stage 1,Stage 4,0.5228831348791392,0.5228831348791392
17,140,Stage 4,Stage 1,0.02039480417877786,0.9796051958212221
17,141,Stage 1,Stage 4,0.6380071073168914,0.6380071073168914
17,142,Stage 4,Stage 1,0.1166362503512657,0.8832260300925735
17,143,Stage 4,Stage 1,0.06709438473515435,0.9329056152648455
17,146,Stage 1,Stage 4,0.6743975790141095,0.6743975790141095
17,158,Stage 1,Stage 4,0.790162407252431,0.790162407252431
17,160,Stage 4,Stage 1,0.2797015271541158,0.7202984728458847
17,171,Stage 1,Stage 4,0.8548111321229309,0.8548111321229309
17,173,Stage 1,Stage 4,0.8502766126841343,0.8502766126841343
17,185,Stage 4,Stage 1,0.4303678943008434,0.5693182221258223
17,192,Stage 1,Stage 4,0.870716340724544,0.870716340724544
17,194,Stage 4,Stage 0,0.3180679923922208,0.5182538667340215
17,203,Stage 4,Stage 0,0.4016781362839703,0.5914629601506326
17,212,Stage 4,Stage 0,0.16067340473030806,0.8247141411174839
17,221,Stage 4,Stage 0,0.2799508531973937,0.7170741852854768
17,236,Stage 2,Stage 0,0.0009441304683485282,0.9094949924073207
17,238,Stage 2,Stage 0,0.012588781055048383,0.8473654684123407
17,239,Stage 2,Stage 0,0.014586298607557785,0.8011239814105516
17,242,Stage 2,Stage 0,0.00013828729634776318,0.4681204129888257
17,243,Stage 2,Stage 0,0.00248304273758386,0.8659934604721982
17,244,Stage 2,Stage 0,0.007773578442840797,0.7092506579810394
17,245,Stage 2,Stage 0,0.0007509000194910165,0.8573116137071095
17,247,Stage 2,Stage 0,0.0019000464398516248,0.7784476021539273
17,248,Stage 2,Stage 0,0.011092152328277061,0.9032567712771072
17,250,Stage 2,Stage 0,0.005680000300460388,0.5841182533942
17,251,Stage 2,Stage 0,0.0013746861792825755,0.828889955021937
17,252,Stage 2,Stage 0,0.00858047659498208,0.9110393480684323
17,255,Stage 2,Stage 3,0.0,0.510582254341722
17,258,Stage 2,Stage 3,0.0,0.40522018130053367
17,262,Stage 2,Stage 3,0.0,0.8094803584803874
17,263,Stage 2,Stage 3,0.0,0.5024777002642357
17,266,Stage 2,Stage 3,0.0,0.5669201907541044
17,270,Stage 2,Stage 3,0.0,0.5571461017406827
17,272,Stage 2,Stage 3,0.0,0.7794934394317943
17,273,Stage 2,Stage 3,0.0,0.6882473262375449
17,274,Stage 2,Stage 3,0.0,0.863888134394139
17,275,Stage 2,Stage 3,0.0,0.7792437460839879
20,2,Stage 4,Stage 0,0.09634987997785549,0.9033699985340591
20,4,Stage 4,Stage 0,0.2769770176824653,0.7068323076318009
20,21,Stage 4,Stage 0,0.3711655154429436,0.6240787156995018
20,29,Stage 4,Stage 0,0.2279816485307497,0.7708342812559351
20,30,Stage 0,Stage 4,0.6258099126707837,0.6258099126707837
20,35,Stage 4,Stage 0,0.48670215026550695,0.5091508158183486
20,48,Stage 4,Stage 0,0.08943554590754858,0.8794614930486695
20,51,Stage 0,Stage 4,0.6131845006926003,0.6131845006926003
20,56,Stage 4,Stage 0,0.1982241222939787,0.7589980439779361
20,59,Stage 0,Stage 4,0.5895709554784524,0.5895709554784524
20,60,Stage 0,Stage 4,0.5469459181384179,0.5469459181384179
20,81,Stage 4,Stage 0,0.04490226900164076,0.9312685073256479
20,89,Stage 0,Stage 4,0.8592636860954542,0.8592636860954542
20,100,Stage 0,Stage 4,0.5674175428316834,0.5674175428316834
20,101,Stage 4,Stage 0,0.33072994326708605,0.6645844196999271
20,105,Stage 4,Stage 0,0.05892188494934446,0.8737746837452376
20,114,Stage 0,Stage 4,0.7495305142253179,0.7495305142253179
20,115,Stage 0,Stage 4,0.7570171233942489,0.7570171233942489
20,125,Stage 0,Stage 4,0.5422310428241081,0.5422310428241081
20,140,Stage 0,Stage 4,0.5638440133830873,0.5638440133830873
20,152,Stage 0,Stage 4,0.6657463707474204,0.6657463707474204
20,161,Stage 0,Stage 2,0.0,0.5632948882362954
20,179,Stage 0,Stage 3,0.0,0.3906712449516544
20,182,Stage 0,Stage 2,0.0,0.42820583760726244
20,185,Stage 0,Stage 2,0.0,0.5136008699637616
20,186,Stage 0,Stage 2,0.0,0.4315281556067008
20,188,Stage 3,Stage 2,0.0,0.6912270538269423
20,191,Stage 0,Stage 3,0.0,0.39218785591266536
20,196,Stage 3,Stage 2,0.0,0.45416208065891805
20,197,Stage 0,Stage 3,0.0,0.6973816407239429
20,198,Stage 3,Stage 0,0.0004983082758448526,0.613069785311024
20,199,Stage 3,Stage 2,0.0,0.5952690492440494
20,200,Stage 0,Stage 2,0.0,0.546624694033716
20,202,Stage 0,Stage 3,0.00017739702425460758,0.4086892304039705
20,205,Stage 3,Stage 0,0.0,0.5622157270744661
20,206,Stage 0,Stage 3,0.0,0.5459717455924525
20,208,Stage 3,Stage 2,0.0,0.48560943799510436
20,213,Stage 3,Stage 2,0.0,0.6441380918534685
20,215,Stage 3,Stage 2,0.0,0.754880142265609
20,227,Stage 3,Stage 2,0.0,0.5958058916843444
20,230,Stage 3,Stage 2,0.0,0.5027543352671386
21,6,Stage 1,Stage 4,0.7721153314822627,0.7721153314822627
21,9,Stage 4,Stage 1,0.12948977192362326,0.8705102280763769
21,12,Stage 4,Stage 1,0.46984937661244164,0.5300503556135369
21,19,Stage 4,Stage 1,0.2898272762452661,0.7101727237547343
21,20,Stage 4,Stage 1,0.09221484580240483,0.9077851541975952
21,25,Stage 4,Stage 0,0.2876498723001391,0.7065125728647156
21,27,Stage 4,Stage 1,0.18288651188715854,0.8171134881128417
21,38,Stage 4,Stage 1,0.13650335256309,0.8634966474369099
21,48,Stage 4,Stage 1,0.15738568536397832,0.8424810859870544
21,59,Stage 4,Stage 1,0.4474719946998139,0.5523308250532903
21,60,Stage 4,Stage 1,0.19437034936878794,0.8056296506312121
21,92,Stage 4,Stage 0,0.07146181399348514,0.8617901379966156
21,95,Stage 4,Stage 0,0.4523676766224636,0.545345596971071
21,102,Stage 4,Stage 0,0.4771306451828421,0.5228693548171578
21,109,Stage 0,Stage 4,0.8998454428817714,0.8998454428817714
21,111,Stage 4,Stage 0,0.08222796924903451,0.9131963134046117
21,116,Stage 4,Stage 0,0.1572234400633352,0.8392494164301844
21,123,Stage 4,Stage 0,0.04302466178624347,0.935718275412443
21,124,Stage 4,Stage 0,0.04997110541276862,0.9455073444580154
21,130,Stage 4,Stage 0,0.25805771195411353,0.7419422880458865
21,140,Stage 4,Stage 0,0.11014846905445855,0.8633212622638403
21,153,Stage 0,Stage 2,0.0002355749242812219,0.4355985887939601
21,164,Stage 2,Stage 0,0.0018867326060036916,0.8554830464292826
21,165,Stage 2,Stage 0,9.904608179965415e-05,0.6804988072654885
21,168,Stage 2,Stage 0,0.00014850370873201546,0.4371898661929304
