unit,time,y_true,y_pred,prob_stage4,confidence
10,83,Stage 1,Stage 4,0.83775514,0.83775514
10,88,Stage 1,Stage 4,0.75842977,0.75842977
10,104,Stage 1,Stage 4,0.5561249,0.5561249
10,114,Stage 1,Stage 4,0.9001082,0.9001082
10,124,Stage 1,Stage 4,0.71485275,0.71485275
10,125,Stage 1,Stage 4,0.85126656,0.85126656
10,126,Stage 4,Stage 1,0.18135576,0.81706417
10,128,Stage 4,Stage 1,0.0514674,0.9475207
10,134,Stage 1,Stage 4,0.5081582,0.5081582
10,137,Stage 4,Stage 1,0.047091626,0.9522754
10,138,Stage 4,Stage 1,0.33708522,0.6604759
10,139,Stage 4,Stage 1,0.06851329,0.930072
10,143,Stage 1,Stage 4,0.73013103,0.73013103
10,144,Stage 4,Stage 1,0.46319956,0.53347856
10,145,Stage 4,Stage 1,0.09698161,0.9013751
10,154,Stage 1,Stage 4,0.72231334,0.72231334
10,155,Stage 4,Stage 0,0.41482657,0.57979673
10,160,Stage 4,Stage 0,0.30806714,0.6802648
10,165,Stage 4,Stage 0,0.25947592,0.736767
10,174,Stage 4,Stage 0,0.3063384,0.68896794
10,176,Stage 0,Stage 4,0.79248667,0.79248667
10,178,Stage 4,Stage 0,0.010225088,0.9312073
10,180,Stage 0,Stage 4,0.49056008,0.49056008
10,182,Stage 0,Stage 4,0.9227924,0.9227924
10,190,Stage 0,Stage 2,0.0015375715,0.42896953
10,193,Stage 0,Stage 2,0.001238912,0.59475607
10,194,Stage 2,Stage 0,0.0009346512,0.48979974
10,196,Stage 0,Stage 3,0.00086547795,0.5861993
10,200,Stage 2,Stage 0,0.0016659487,0.4476197
10,202,Stage 2,Stage 0,0.000992696,0.52808696
10,204,Stage 2,Stage 3,0.0007089145,0.5927438
10,205,Stage 2,Stage 3,0.00088009314,0.4451798
10,206,Stage 2,Stage 3,0.000817093,0.59203017
10,207,Stage 2,Stage 3,0.0008556124,0.53813714
10,208,Stage 2,Stage 3,0.00080760114,0.709017
10,209,Stage 2,Stage 0,0.0025960552,0.9145133
10,210,Stage 2,Stage 3,0.00073840196,0.6753459
10,212,Stage 2,Stage 3,0.00092700723,0.395611
10,213,Stage 2,Stage 3,0.00085060624,0.61468524
10,214,Stage 2,Stage 3,0.00080829085,0.7847635
10,215,Stage 2,Stage 3,0.00060523266,0.8742098
10,216,Stage 2,Stage 3,0.00088163523,0.5482508
10,218,Stage 2,Stage 3,0.00084081054,0.58992416
10,219,Stage 2,Stage 3,0.0007561728,0.77514404
10,220,Stage 2,Stage 3,0.00085492624,0.6198904
10,221,Stage 2,Stage 3,0.00060889934,0.8661542
12,5,Stage 4,Stage 0,0.27248877,0.7184399
12,11,Stage 4,Stage 0,0.031311125,0.9634416
12,12,Stage 4,Stage 0,0.38014653,0.6095349
12,26,Stage 4,Stage 0,0.4590898,0.5351665
12,29,Stage 4,Stage 0,0.4479874,0.54650545
12,32,Stage 0,Stage 4,0.62224925,0.62224925
12,34,Stage 0,Stage 4,0.5532025,0.5532025
12,51,Stage 4,Stage 0,0.42280835,0.57345504
12,53,Stage 0,Stage 4,0.9454811,0.9454811
12,65,Stage 4,Stage 0,0.23043206,0.7644949
12,66,Stage 0,Stage 4,0.6236763,0.6236763
12,67,Stage 0,Stage 4,0.5541734,0.5541734
12,74,Stage 4,Stage 0,0.13827512,0.85641414
12,79,Stage 4,Stage 0,0.4606767,0.53634906
12,84,Stage 0,Stage 4,0.7487177,0.7487177
12,89,Stage 4,Stage 0,0.046755273,0.9474617
12,94,Stage 0,Stage 4,0.6538731,0.6538731
12,127,Stage 3,Stage 2,0.0014422024,0.50318086
12,128,Stage 0,Stage 3,0.00079618837,0.6887185
12,129,Stage 0,Stage 2,0.0010167452,0.57691437
12,130,Stage 0,Stage 3,0.0038336003,0.66584903
12,131,Stage 3,Stage 2,0.0011135056,0.67591274
12,132,Stage 3,Stage 0,0.0010898084,0.43546158
12,137,Stage 0,Stage 3,0.00058786466,0.7132744
12,139,Stage 3,Stage 2,0.0012461909,0.70618695
12,143,Stage 3,Stage 0,0.0013772339,0.41281614
12,145,Stage 3,Stage 0,0.0008630693,0.6644898
12,146,Stage 3,Stage 0,0.0017827007,0.56742334
