unit,time,y_true,y_pred,prob_stage4,confidence
4,196,Stage 3,Stage 4,0.7812168404263821,0.7812168404263821
4,206,Stage 3,Stage 4,0.7861318028567376,0.7861318028567376
4,216,Stage 3,Stage 4,0.7844335763742096,0.7844335763742096
5,149,Stage 3,Stage 4,0.7828328477742071,0.7828328477742071
6,134,Stage 3,Stage 4,0.7766336979966311,0.7766336979966311
6,155,Stage 3,Stage 4,0.7844335763742096,0.7844335763742096
6,162,Stage 3,Stage 4,0.7953257671212658,0.7953257671212658
6,166,Stage 3,Stage 4,0.7850015816364188,0.7850015816364188
6,169,Stage 3,Stage 4,0.7928610369802701,0.7928610369802701
13,211,Stage 3,Stage 4,0.7859063748548419,0.7859063748548419
13,225,Stage 3,Stage 4,0.7882580729503932,0.7882580729503932
13,226,Stage 3,Stage 4,0.7901372081310536,0.7901372081310536
19,154,Stage 3,Stage 4,0.7836351156108439,0.7836351156108439
27,151,Stage 3,Stage 4,0.7772280250897531,0.7772280250897531
27,159,Stage 3,Stage 4,0.7765145930893625,0.7765145930893625
27,168,Stage 3,Stage 4,0.7901372081310536,0.7901372081310536
27,169,Stage 3,Stage 4,0.7819112923319499,0.7819112923319499
27,172,Stage 3,Stage 4,0.788813036789656,0.788813036789656
30,135,Stage 3,Stage 4,0.7775836646710265,0.7775836646710265
30,149,Stage 3,Stage 4,0.7798194544144577,0.7798194544144577
30,150,Stage 3,Stage 4,0.7895867957178186,0.7895867957178186
30,155,Stage 3,Stage 4,0.780169863657859,0.780169863657859
30,160,Stage 3,Stage 4,0.7912323722388809,0.7912323722388809
31,278,Stage 3,Stage 4,0.7847746115492854,0.7847746115492854
31,297,Stage 3,Stage 4,0.780403075784929,0.780403075784929
31,312,Stage 3,Stage 4,0.788813036789656,0.788813036789656
31,319,Stage 3,Stage 4,0.7819112923319499,0.7819112923319499
31,327,Stage 3,Stage 4,0.7845473321537918,0.7845473321537918
31,333,Stage 3,Stage 4,0.7954320412062368,0.7954320412062368
31,339,Stage 3,Stage 4,0.7845473321537918,0.7845473321537918
31,341,Stage 3,Stage 4,0.7914505018941261,0.7914505018941261
42,79,Stage 3,Stage 4,0.7806359730248744,0.7806359730248744
42,120,Stage 3,Stage 4,0.780403075784929,0.780403075784929
42,129,Stage 3,Stage 4,0.7862444015158417,0.7862444015158417
42,175,Stage 3,Stage 4,0.7828328477742071,0.7828328477742071
42,177,Stage 3,Stage 4,0.7859063748548419,0.7859063748548419
42,193,Stage 3,Stage 4,0.7827179265640121,0.7827179265640121
42,196,Stage 3,Stage 4,0.7852282427160598,0.7852282427160598
42,197,Stage 3,Stage 4,0.790685732077604,0.790685732077604
42,207,Stage 3,Stage 4,0.7887021961482023,0.7887021961482023
42,208,Stage 3,Stage 4,0.7837494142259362,0.7837494142259362
42,217,Stage 3,Stage 4,0.7896970295008694,0.7896970295008694
45,138,Stage 3,Stage 4,0.7905761781405618,0.7905761781405618
45,142,Stage 3,Stage 4,0.7887021961482023,0.7887021961482023
45,146,Stage 3,Stage 4,0.7909046139308903,0.7909046139308903
45,149,Stage 3,Stage 4,0.7881468518076014,0.7881468518076014
47,176,Stage 3,Stage 4,0.7780567366725554,0.7780567366725554
47,226,Stage 3,Stage 4,0.7835207393040837,0.7835207393040837
47,243,Stage 3,Stage 4,0.7802865091003831,0.7802865091003831
47,245,Stage 3,Stage 4,0.7911231946823978,0.7911231946823978
61,204,Stage 3,Stage 4,0.7789990695460214,0.7789990695460214
61,216,Stage 3,Stage 4,0.7880355544501849,0.7880355544501849
62,148,Stage 3,Stage 4,0.7811008240252709,0.7811008240252709
62,150,Stage 3,Stage 4,0.7838636351825958,0.7838636351825958
62,151,Stage 3,Stage 4,0.7824878501377143,0.7824878501377143
62,157,Stage 3,Stage 4,0.7812168404263821,0.7812168404263821
62,160,Stage 3,Stage 4,0.7864693683394045,0.7864693683394045
62,161,Stage 3,Stage 4,0.7866940280725233,0.7866940280725233
62,165,Stage 3,Stage 4,0.7870304425592471,0.7870304425592471
62,178,Stage 3,Stage 4,0.7901372081310536,0.7901372081310536
63,124,Stage 3,Stage 4,0.7779385879348317,0.7779385879348317
63,125,Stage 3,Stage 4,0.7884802867465701,0.7884802867465701
63,136,Stage 3,Stage 4,0.7817957461783805,0.7817957461783805
63,144,Stage 3,Stage 4,0.7836351156108439,0.7836351156108439
63,149,Stage 3,Stage 4,0.7896970295008694,0.7896970295008694
63,153,Stage 3,Stage 4,0.7845473321537918,0.7845473321537918
63,166,Stage 3,Stage 4,0.7916683311975234,0.7916683311975234
63,167,Stage 3,Stage 4,0.7936153286709065,0.7936153286709065
64,177,Stage 3,Stage 4,0.7813327783637962,0.7813327783637962
64,229,Stage 3,Stage 4,0.783977778519623,0.783977778519623
64,230,Stage 3,Stage 4,0.7854545950797793,0.7854545950797793
64,241,Stage 3,Stage 4,0.7863569233278055,0.7863569233278055
64,243,Stage 3,Stage 4,0.7824878501377143,0.7824878501377143
64,246,Stage 3,Stage 4,0.7808685556769223,0.7808685556769223
64,249,Stage 3,Stage 4,0.7896970295008694,0.7896970295008694
64,256,Stage 3,Stage 4,0.7866940280725233,0.7866940280725233
64,257,Stage 3,Stage 4,0.7827179265640121,0.7827179265640121
64,269,Stage 3,Stage 4,0.7868062428856393,0.7868062428856393
68,170,Stage 3,Stage 4,0.7881468518076014,0.7881468518076014
68,182,Stage 3,Stage 4,0.7904665488167288,0.7904665488167288
69,111,Stage 3,Stage 4,0.7816801217404633,0.7816801217404633
69,117,Stage 3,Stage 4,0.7889238014427236,0.7889238014427236
69,130,Stage 3,Stage 4,0.7828328477742071,0.7828328477742071
