unit,time,y_true,y_pred,prob_stage4,confidence
4,196,Stage 3,Stage 4,0.8262465721787253,0.8262465721787253
4,206,Stage 3,Stage 4,0.8306111809319373,0.8306111809319373
4,216,Stage 3,Stage 4,0.8290999434094055,0.8290999434094055
5,149,Stage 3,Stage 4,0.8276785412285779,0.8276785412285779
6,134,Stage 3,Stage 4,0.8222015650216219,0.8222015650216219
6,155,Stage 3,Stage 4,0.8290999434094055,0.8290999434094055
6,162,Stage 3,Stage 4,0.8388522992217644,0.8388522992217644
6,166,Stage 3,Stage 4,0.8296050316358198,0.8296050316358198
6,169,Stage 3,Stage 4,0.8366330205040714,0.8366330205040714
13,211,Stage 3,Stage 4,0.8304103802633217,0.8304103802633217
13,225,Stage 3,Stage 4,0.8325081053954924,0.8325081053954924
13,226,Stage 3,Stage 4,0.8341890125058136,0.8341890125058136
19,154,Stage 3,Stage 4,0.8283905614026846,0.8283905614026846
27,151,Stage 3,Stage 4,0.8227247705477609,0.8227247705477609
27,159,Stage 3,Stage 4,0.8220967606611777,0.8220967606611777
27,168,Stage 3,Stage 4,0.8341890125058136,0.8341890125058136
27,169,Stage 3,Stage 4,0.8268615689107002,0.8268615689107002
27,172,Stage 3,Stage 4,0.8330040892063434,0.8330040892063434
30,135,Stage 3,Stage 4,0.8230380411764977,0.8230380411764977
30,149,Stage 3,Stage 4,0.8250107385897167,0.8250107385897167
30,150,Stage 3,Stage 4,0.8336962266302838,0.8336962266302838
30,155,Stage 3,Stage 4,0.8253204276745143,0.8253204276745143
30,160,Stage 3,Stage 4,0.8351705955975331,0.8351705955975331
31,278,Stage 3,Stage 4,0.8294031575599777,0.8294031575599777
31,297,Stage 3,Stage 4,0.8255266163240099,0.8255266163240099
31,312,Stage 3,Stage 4,0.8330040892063434,0.8330040892063434
31,319,Stage 3,Stage 4,0.8268615689107002,0.8268615689107002
31,327,Stage 3,Stage 4,0.8292010685453524,0.8292010685453524
31,333,Stage 3,Stage 4,0.8389481570004604,0.8389481570004604
31,339,Stage 3,Stage 4,0.8292010685453524,0.8292010685453524
31,341,Stage 3,Stage 4,0.8353662748213,0.8353662748213
42,79,Stage 3,Stage 4,0.8257325884732513,0.8257325884732513
42,120,Stage 3,Stage 4,0.8255266163240099,0.8255266163240099
42,129,Stage 3,Stage 4,0.8307115008525744,0.8307115008525744
42,175,Stage 3,Stage 4,0.8276785412285779,0.8276785412285779
42,177,Stage 3,Stage 4,0.8304103802633217,0.8304103802633217
42,193,Stage 3,Stage 4,0.8275766084919561,0.8275766084919561
42,196,Stage 3,Stage 4,0.8298066908582437,0.8298066908582437
42,197,Stage 3,Stage 4,0.8346804683449105,0.8346804683449105
42,207,Stage 3,Stage 4,0.8329049991670915,0.8329049991670915
42,208,Stage 3,Stage 4,0.8284920631261379,0.8284920631261379
42,217,Stage 3,Stage 4,0.8337948902775227,0.8337948902775227
45,138,Stage 3,Stage 4,0.83458228351057,0.83458228351057
45,142,Stage 3,Stage 4,0.8329049991670915,0.8329049991670915
45,146,Stage 3,Stage 4,0.83487667859476,0.83487667859476
45,149,Stage 3,Stage 4,0.8324087484925464,0.8324087484925464
47,176,Stage 3,Stage 4,0.823454974403379,0.823454974403379
47,226,Stage 3,Stage 4,0.8282890058390019,0.8282890058390019
47,243,Stage 3,Stage 4,0.825423549066735,0.825423549066735
47,245,Stage 3,Stage 4,0.8350726763639503,0.8350726763639503
61,204,Stage 3,Stage 4,0.824286234172159,0.824286234172159
61,216,Stage 3,Stage 4,0.8323093381830892,0.8323093381830892
62,148,Stage 3,Stage 4,0.8261438835883573,0.8261438835883573
62,150,Stage 3,Stage 4,0.8285935110198253,0.8285935110198253
62,151,Stage 3,Stage 4,0.8273725812387445,0.8273725812387445
62,157,Stage 3,Stage 4,0.8262465721787253,0.8262465721787253
62,160,Stage 3,Stage 4,0.8309119799209681,0.8309119799209681
62,161,Stage 3,Stage 4,0.8311122446983656,0.8311122446983656
62,165,Stage 3,Stage 4,0.8314122402607264,0.8314122402607264
