unit,time,y_true,y_pred,prob_stage4,confidence
4,196,Stage 3,Stage 4,0.9017724305536732,0.9017724305536732
4,206,Stage 3,Stage 4,0.5390451033690905,0.5390451033690905
4,208,Stage 4,Stage 3,0.4602406275472602,0.53975937245274
4,216,Stage 3,Stage 4,0.8605861199121831,0.8605861199121831
5,149,Stage 3,Stage 4,0.7432483710396577,0.7432483710396577
6,131,Stage 4,Stage 3,0.46892558798326245,0.5310744120167376
6,134,Stage 3,Stage 4,0.8997076454082802,0.8997076454082802
6,155,Stage 3,Stage 4,0.8605861199121831,0.8605861199121831
6,166,Stage 3,Stage 4,0.5690854739004922,0.5690854739004922
13,185,Stage 4,Stage 3,0.3384150894421536,0.6615849105578461
13,203,Stage 4,Stage 3,0.12099858924734502,0.879001410752655
13,211,Stage 3,Stage 4,0.5702612978137324,0.5702612978137324
19,154,Stage 3,Stage 4,0.7705419802332945,0.7705419802332945
27,151,Stage 3,Stage 4,0.9377571625098178,0.9377571625098178
27,159,Stage 3,Stage 4,0.9831114687038844,0.9831114687038844
27,169,Stage 3,Stage 4,0.835035829937348,0.835035829937348
30,135,Stage 3,Stage 4,0.9271718862565486,0.9271718862565486
30,149,Stage 3,Stage 4,0.9219418413982332,0.9219418413982332
30,155,Stage 3,Stage 4,0.8661685813565864,0.8661685813565864
31,246,Stage 4,Stage 3,0.3034543381893414,0.6965456618106579
31,278,Stage 3,Stage 4,0.5795248627963991,0.5795248627963991
31,293,Stage 4,Stage 3,0.3257121719566621,0.6742878280433376
31,297,Stage 3,Stage 4,0.9047091313935515,0.9047091313935515
31,319,Stage 3,Stage 4,0.835035829937348,0.835035829937348
31,327,Stage 3,Stage 4,0.5233533237896447,0.5233533237896447
31,339,Stage 3,Stage 4,0.5233533237896447,0.5233533237896447
42,53,Stage 4,Stage 3,0.4602406275472602,0.53975937245274
42,79,Stage 3,Stage 4,0.8960043600144729,0.8960043600144729
42,120,Stage 3,Stage 4,0.9047091313935515,0.9047091313935515
42,175,Stage 3,Stage 4,0.7432483710396577,0.7432483710396577
42,177,Stage 3,Stage 4,0.5702612978137324,0.5702612978137324
42,193,Stage 3,Stage 4,0.7606825299416328,0.7606825299416328
42,196,Stage 3,Stage 4,0.5463418889743891,0.5463418889743891
42,208,Stage 3,Stage 4,0.5110519792789484,0.5110519792789484
47,176,Stage 3,Stage 4,0.9249213141682742,0.9249213141682742
47,226,Stage 3,Stage 4,0.6716399097781867,0.6716399097781867
47,243,Stage 3,Stage 4,0.9223153154788095,0.9223153154788095
61,204,Stage 3,Stage 4,0.9648723915271191,0.9648723915271191
62,148,Stage 3,Stage 4,0.793511804373374,0.793511804373374
62,150,Stage 3,Stage 4,0.5163555930105101,0.5163555930105101
62,151,Stage 3,Stage 4,0.8091226014822955,0.8091226014822955
62,157,Stage 3,Stage 4,0.9017724305536732,0.9017724305536732
63,124,Stage 3,Stage 4,0.9396918815794895,0.9396918815794895
63,136,Stage 3,Stage 4,0.7781090142315362,0.7781090142315362
63,144,Stage 3,Stage 4,0.7705419802332945,0.7705419802332945
63,153,Stage 3,Stage 4,0.5233533237896447,0.5233533237896447
63,155,Stage 4,Stage 3,0.3823263096430333,0.6176736903569665
63,167,Stage 3,Stage 4,0.5363596547886686,0.5363596547886686
64,177,Stage 3,Stage 4,0.7821167215370396,0.7821167215370396
64,225,Stage 4,Stage 3,0.3531745546410061,0.6468254453589938
64,229,Stage 3,Stage 4,0.7664404386284004,0.7664404386284004
64,243,Stage 3,Stage 4,0.8091226014822955,0.8091226014822955
64,245,Stage 4,Stage 3,0.1216599897347862,0.878340010265214
64,246,Stage 3,Stage 4,0.8694096865094278,0.8694096865094278
64,257,Stage 3,Stage 4,0.7606825299416328,0.7606825299416328
69,111,Stage 3,Stage 4,0.7325887453853346,0.7325887453853346
69,130,Stage 3,Stage 4,0.7432483710396577,0.7432483710396577
78,112,Stage 3,Stage 4,0.9151961503827503,0.9151961503827503
78,138,Stage 3,Stage 4,0.7821167215370396,0.7821167215370396
78,139,Stage 3,Stage 4,0.5897756161727723,0.5897756161727723
78,145,Stage 3,Stage 4,0.5795248627963991,0.5795248627963991
78,146,Stage 3,Stage 4,0.7705419802332945,0.7705419802332945
87,145,Stage 3,Stage 4,0.6776228030280317,0.6776228030280317
93,123,Stage 3,Stage 4,0.9961793963774831,0.9961793963774831
93,125,Stage 4,Stage 3,0.24143453498080125,0.7585654650191986
93,126,Stage 3,Stage 4,0.9648723915271191,0.9648723915271191
93,149,Stage 4,Stage 3,0.1216599897347862,0.878340010265214
