unit,time,y_true,y_pred,prob_Stage4,confidence
2,175,Stage 4,Stage 2,0.3467130517915099,0.6532869482084901
2,201,Stage 4,Stage 2,0.37202376800919706,0.6279762319908029
2,254,Stage 4,Stage 2,0.4715548514305982,0.5284451485694018
2,277,Stage 2,Stage 4,0.8342884177762228,0.8342884177762228
4,199,Stage 4,Stage 2,0.2897313079799132,0.7102686920200867
4,223,Stage 4,Stage 2,0.38867645626826997,0.6113235437317296
4,228,Stage 4,Stage 2,0.49996988381980667,0.5000301161801931
4,232,Stage 2,Stage 4,0.7462243382352246,0.7462243382352246
4,237,Stage 4,Stage 2,0.37202376800919706,0.6279762319908029
4,251,Stage 2,Stage 4,0.8349402179420571,0.8349402179420571
4,258,Stage 4,Stage 2,0.49370104027802086,0.506298959721979
11,140,Stage 2,Stage 4,0.8947853571945482,0.8947853571945482
11,155,Stage 2,Stage 4,0.8520404411420309,0.8520404411420309
11,175,Stage 2,Stage 4,0.8434394632730455,0.8434394632730455
11,213,Stage 2,Stage 4,0.8944410255352568,0.8944410255352568
11,239,Stage 2,Stage 4,0.6870105034230617,0.6870105034230617
11,259,Stage 2,Stage 4,0.5879670616093844,0.5879670616093844
11,265,Stage 2,Stage 4,0.7089401704384415,0.7089401704384415
11,274,Stage 4,Stage 2,0.4442360155152546,0.5557639844847451
11,279,Stage 2,Stage 4,0.5826946755668082,0.5826946755668082
11,281,Stage 4,Stage 2,0.38867645626826997,0.6113235437317296
11,282,Stage 2,Stage 4,0.6205878773057801,0.6205878773057801
11,294,Stage 2,Stage 4,0.6517868886107425,0.6517868886107425
12,248,Stage 2,Stage 4,0.9985007302536165,0.9985007302536165
12,254,Stage 2,Stage 4,0.9082393611300394,0.9082393611300394
12,265,Stage 2,Stage 4,0.8342884177762228,0.8342884177762228
15,179,Stage 2,Stage 4,0.9932192405375908,0.9932192405375908
15,182,Stage 2,Stage 4,0.8342884177762228,0.8342884177762228
15,215,Stage 2,Stage 4,0.6517868886107425,0.6517868886107425
15,223,Stage 2,Stage 4,0.7089401704384415,0.7089401704384415
31,21,Stage 4,Stage 2,0.49370104027802086,0.506298959721979
31,134,Stage 4,Stage 2,0.4442360155152546,0.5557639844847451
31,151,Stage 2,Stage 4,0.9802639450357651,0.9802639450357651
31,158,Stage 4,Stage 2,0.3467130517915099,0.6532869482084901
31,165,Stage 4,Stage 2,0.41910348096398,0.5808965190360199
31,185,Stage 2,Stage 4,0.9488239418133202,0.9488239418133202
31,190,Stage 2,Stage 4,0.5997753322493038,0.5997753322493038
31,201,Stage 2,Stage 4,0.5653166111965878,0.5653166111965878
31,207,Stage 4,Stage 2,0.37202376800919706,0.6279762319908029
32,183,Stage 2,Stage 4,0.8656719512147011,0.8656719512147011
32,202,Stage 2,Stage 4,0.7113694218942217,0.7113694218942217
41,33,Stage 2,Stage 4,0.722675912901298,0.722675912901298
41,113,Stage 2,Stage 4,0.609709727757213,0.609709727757213
41,129,Stage 4,Stage 2,0.3467130517915099,0.6532869482084901
41,141,Stage 2,Stage 4,0.6068739264252959,0.6068739264252959
41,146,Stage 2,Stage 4,0.8893426483343351,0.8893426483343351
41,160,Stage 2,Stage 4,0.609709727757213,0.609709727757213
41,169,Stage 2,Stage 4,0.8893426483343351,0.8893426483343351
41,171,Stage 4,Stage 2,0.13390270643358262,0.8660972935664176
41,180,Stage 4,Stage 2,0.2957242319594042,0.7042757680405956
41,185,Stage 2,Stage 4,0.9975878016129752,0.9975878016129752
41,190,Stage 2,Stage 4,0.8891057929150975,0.8891057929150975
41,248,Stage 2,Stage 4,0.7642437074005719,0.7642437074005719
41,254,Stage 4,Stage 2,0.020033614750774916,0.9799663852492251
49,397,Stage 2,Stage 4,0.9924932933273165,0.9924932933273165
49,404,Stage 2,Stage 4,0.9286613700329731,0.9286613700329731
49,420,Stage 2,Stage 4,0.7113694218942217,0.7113694218942217
49,421,Stage 2,Stage 4,0.6538385295226224,0.6538385295226224
49,423,Stage 2,Stage 4,0.722675912901298,0.722675912901298
49,424,Stage 2,Stage 4,0.722675912901298,0.722675912901298
49,438,Stage 2,Stage 4,0.9797670875759311,0.9797670875759311
49,441,Stage 2,Stage 4,0.8576291809919231,0.8576291809919231
49,443,Stage 2,Stage 4,0.6420466460717965,0.6420466460717965
51,275,Stage 2,Stage 4,0.6778287469632981,0.6778287469632981
52,306,Stage 2,Stage 4,0.9195663214490736,0.9195663214490736
52,322,Stage 2,Stage 4,0.9849264415716236,0.9849264415716236
52,325,Stage 2,Stage 4,0.9892365200064338,0.9892365200064338
52,343,Stage 2,Stage 4,0.84461479593568,0.84461479593568
52,349,Stage 2,Stage 4,0.7823568853584157,0.7823568853584157
52,356,Stage 2,Stage 4,0.8244978866807811,0.8244978866807811
53,281,Stage 2,Stage 4,0.9989387997231959,0.9989387997231959
57,1,Stage 4,Stage 2,0.32494783241899444,0.6750521675810051
57,4,Stage 2,Stage 4,0.9020143020204584,0.9020143020204584
57,13,Stage 4,Stage 2,0.4236998747087108,0.5763001252912892
57,28,Stage 4,Stage 2,0.22681674064584678,0.7731832593541533
57,51,Stage 4,Stage 2,0.41324540336068666,0.5867545966393132
57,81,Stage 2,Stage 4,0.8944410255352568,0.8944410255352568
57,101,Stage 4,Stage 2,0.41324540336068666,0.5867545966393132
57,102,Stage 2,Stage 4,0.6446689690177482,0.6446689690177482
57,144,Stage 4,Stage 2,0.3191331476456423,0.6808668523543577
57,165,Stage 2,Stage 4,0.6187094644931457,0.6187094644931457
58,259,Stage 2,Stage 4,0.5997753322493038,0.5997753322493038
58,267,Stage 2,Stage 4,0.6517868886107425,0.6517868886107425
58,275,Stage 2,Stage 4,0.7451452560156209,0.7451452560156209
58,277,Stage 2,Stage 4,0.6870105034230617,0.6870105034230617
59,43,Stage 4,Stage 2,0.44897537838504237,0.5510246216149578
59,74,Stage 2,Stage 4,0.9985007302536165,0.9985007302536165
59,123,Stage 2,Stage 4,0.8520404411420309,0.8520404411420309
59,128,Stage 4,Stage 2,0.1604330324617558,0.8395669675382441
59,137,Stage 2,Stage 4,0.9548086382382833,0.9548086382382833
59,144,Stage 2,Stage 4,0.6205878773057801,0.6205878773057801
59,148,Stage 2,Stage 4,0.8642681022944091,0.8642681022944091
59,159,Stage 2,Stage 4,0.6124931794201548,0.6124931794201548
61,225,Stage 2,Stage 4,0.7823568853584157,0.7823568853584157
62,223,Stage 2,Stage 4,0.9862904509919722,0.9862904509919722
62,229,Stage 2,Stage 4,0.8148279518158453,0.8148279518158453
62,256,Stage 2,Stage 4,0.9962742154207905,0.9962742154207905
62,263,Stage 2,Stage 4,0.7451452560156209,0.7451452560156209
62,271,Stage 2,Stage 4,0.5653166111965878,0.5653166111965878
62,272,Stage 2,Stage 4,0.9100266990218986,0.9100266990218986
64,9,Stage 4,Stage 2,0.43087544371378983,0.5691245562862101
64,149,Stage 2,Stage 4,0.8476959332087518,0.8476959332087518
64,160,Stage 2,Stage 4,0.6124931794201548,0.6124931794201548
65,281,Stage 2,Stage 4,0.8811428182525202,0.8811428182525202
65,291,Stage 2,Stage 4,0.9871804087658124,0.9871804087658124
65,292,Stage 2,Stage 4,0.7113694218942217,0.7113694218942217
65,293,Stage 2,Stage 4,0.6068739264252959,0.6068739264252959
65,295,Stage 2,Stage 4,0.9364034605127471,0.9364034605127471
65,297,Stage 2,Stage 4,0.8576291809919231,0.8576291809919231
65,321,Stage 2,Stage 4,0.9632199222745819,0.9632199222745819
65,330,Stage 2,Stage 4,0.9962742154207905,0.9962742154207905
65,345,Stage 2,Stage 4,0.8520404411420309,0.8520404411420309
69,57,Stage 4,Stage 2,0.0,1.0
69,208,Stage 2,Stage 4,0.9414125247548252,0.9414125247548252
69,221,Stage 2,Stage 4,0.647141386050722,0.647141386050722
69,225,Stage 2,Stage 4,0.8656719512147011,0.8656719512147011
74,186,Stage 4,Stage 2,0.49996988381980667,0.5000301161801931
74,196,Stage 2,Stage 4,0.9155991037574143,0.9155991037574143
74,211,Stage 2,Stage 4,0.8323261636882893,0.8323261636882893
74,216,Stage 2,Stage 4,0.6219084277243732,0.6219084277243732
74,234,Stage 2,Stage 4,0.5307588120139841,0.5307588120139841
74,238,Stage 2,Stage 4,0.6870105034230617,0.6870105034230617
87,233,Stage 2,Stage 4,0.8720802375403641,0.8720802375403641
87,249,Stage 2,Stage 4,0.8642681022944091,0.8642681022944091
87,255,Stage 2,Stage 4,0.5879670616093844,0.5879670616093844
96,255,Stage 2,Stage 4,0.8811428182525202,0.8811428182525202
96,268,Stage 2,Stage 4,0.6757095421035346,0.6757095421035346
97,217,Stage 2,Stage 4,0.9962742154207905,0.9962742154207905
97,239,Stage 2,Stage 4,0.8947854332115529,0.8947854332115529
118,480,Stage 2,Stage 4,0.9932192405375908,0.9932192405375908
118,499,Stage 2,Stage 4,0.7884846171590882,0.7884846171590882
118,500,Stage 2,Stage 4,0.9989387997231959,0.9989387997231959
118,506,Stage 2,Stage 4,0.8349402179420571,0.8349402179420571
118,509,Stage 2,Stage 4,0.7089401704384415,0.7089401704384415
118,534,Stage 2,Stage 4,0.8476959332087518,0.8476959332087518
118,536,Stage 2,Stage 4,0.647141386050722,0.647141386050722
121,109,Stage 2,Stage 4,0.7884846171590882,0.7884846171590882
122,106,Stage 2,Stage 4,0.9100266990218986,0.9100266990218986
122,148,Stage 2,Stage 4,0.7680927013727961,0.7680927013727961
122,157,Stage 2,Stage 4,0.7464228516132422,0.7464228516132422
122,164,Stage 2,Stage 4,0.7680927013727961,0.7680927013727961
129,118,Stage 2,Stage 4,0.9096056246014147,0.9096056246014147
129,164,Stage 2,Stage 4,0.5997753322493038,0.5997753322493038
129,167,Stage 2,Stage 4,0.6517868886107425,0.6517868886107425
129,172,Stage 2,Stage 4,0.6538385295226224,0.6538385295226224
132,220,Stage 2,Stage 4,0.8947854332115529,0.8947854332115529
132,233,Stage 2,Stage 4,0.7803015306936071,0.7803015306936071
132,248,Stage 2,Stage 4,0.7462243382352246,0.7462243382352246
140,261,Stage 2,Stage 4,0.7451452560156209,0.7451452560156209
140,277,Stage 2,Stage 4,0.6205878773057801,0.6205878773057801
140,279,Stage 2,Stage 4,0.8148279518158453,0.8148279518158453
140,284,Stage 2,Stage 4,0.84461479593568,0.84461479593568
140,287,Stage 2,Stage 4,0.8576291809919231,0.8576291809919231
140,294,Stage 2,Stage 4,0.8891057929150975,0.8891057929150975
144,253,Stage 2,Stage 4,0.9700952022263095,0.9700952022263095
144,271,Stage 2,Stage 4,0.9020143020204584,0.9020143020204584
144,272,Stage 2,Stage 4,0.722675912901298,0.722675912901298
144,296,Stage 2,Stage 4,0.7803015306936071,0.7803015306936071
176,155,Stage 2,Stage 4,0.7089401704384415,0.7089401704384415
176,163,Stage 4,Stage 2,0.007269663671193948,0.992730336328806
177,18,Stage 2,Stage 4,0.9762595395277566,0.9762595395277566
177,38,Stage 4,Stage 2,0.030585937844206327,0.9694140621557937
177,95,Stage 4,Stage 2,0.3467130517915099,0.6532869482084901
177,206,Stage 2,Stage 4,0.5733493508403674,0.5733493508403674
177,217,Stage 4,Stage 2,0.28268568816081746,0.7173143118391826
177,219,Stage 2,Stage 4,0.6187094644931457,0.6187094644931457
177,223,Stage 2,Stage 4,0.6205878773057801,0.6205878773057801
180,302,Stage 2,Stage 4,0.7642437074005719,0.7642437074005719
180,303,Stage 2,Stage 4,0.9989387997231959,0.9989387997231959
180,322,Stage 2,Stage 4,0.9762595395277566,0.9762595395277566
180,330,Stage 2,Stage 4,0.9286613700329731,0.9286613700329731
180,342,Stage 2,Stage 4,0.7464228516132422,0.7464228516132422
186,128,Stage 2,Stage 4,0.8434394632730455,0.8434394632730455
186,142,Stage 2,Stage 4,0.722675912901298,0.722675912901298
186,143,Stage 4,Stage 2,0.32494783241899444,0.6750521675810051
186,150,Stage 2,Stage 4,0.6219084277243732,0.6219084277243732
195,104,Stage 4,Stage 2,0.2897313079799132,0.7102686920200867
195,121,Stage 4,Stage 2,0.2897313079799132,0.7102686920200867
195,144,Stage 2,Stage 4,0.6446689690177482,0.6446689690177482
195,147,Stage 2,Stage 4,0.7464228516132422,0.7464228516132422
195,155,Stage 2,Stage 4,0.6205878773057801,0.6205878773057801
202,224,Stage 2,Stage 4,0.9878025947614272,0.9878025947614272
202,231,Stage 2,Stage 4,0.8445403232878554,0.8445403232878554
203,236,Stage 2,Stage 4,0.9978609539488698,0.9978609539488698
203,271,Stage 2,Stage 4,0.9962742154207905,0.9962742154207905
203,318,Stage 2,Stage 4,0.7089401704384415,0.7089401704384415
203,322,Stage 2,Stage 4,0.939201641444181,0.939201641444181
204,158,Stage 4,Stage 2,0.39116361250404047,0.6088363874959593
204,186,Stage 4,Stage 2,0.4236998747087108,0.5763001252912892
204,195,Stage 2,Stage 4,0.6124931794201548,0.6124931794201548
211,36,Stage 4,Stage 2,0.34410105920623757,0.6558989407937622
211,72,Stage 2,Stage 4,0.6517868886107425,0.6517868886107425
211,80,Stage 2,Stage 4,0.9797670875759311,0.9797670875759311
211,86,Stage 2,Stage 4,0.7464228516132422,0.7464228516132422
211,105,Stage 2,Stage 4,0.7823568853584157,0.7823568853584157
211,108,Stage 4,Stage 2,0.20620912484602455,0.7937908751539757
211,115,Stage 2,Stage 4,0.7113694218942217,0.7113694218942217
211,116,Stage 4,Stage 2,0.05578588317935322,0.9442141168206465
212,213,Stage 2,Stage 4,0.722675912901298,0.722675912901298
212,218,Stage 2,Stage 4,0.8576291809919231,0.8576291809919231
217,13,Stage 4,Stage 2,0.38867645626826997,0.6113235437317296
217,106,Stage 4,Stage 2,0.43087544371378983,0.5691245562862101
217,156,Stage 2,Stage 4,0.8893426483343351,0.8893426483343351
217,166,Stage 2,Stage 4,0.5733493508403674,0.5733493508403674
217,169,Stage 2,Stage 4,0.8576291809919231,0.8576291809919231
217,172,Stage 2,Stage 4,0.6870105034230617,0.6870105034230617
217,173,Stage 2,Stage 4,0.7884846171590882,0.7884846171590882
217,180,Stage 2,Stage 4,0.7803015306936071,0.7803015306936071
218,157,Stage 2,Stage 4,0.8434394632730455,0.8434394632730455
218,184,Stage 2,Stage 4,0.8010694484398324,0.8010694484398324
218,216,Stage 2,Stage 4,0.9096056246014147,0.9096056246014147
223,173,Stage 2,Stage 4,0.7451452560156209,0.7451452560156209
223,180,Stage 2,Stage 4,0.5653166111965878,0.5653166111965878
223,226,Stage 2,Stage 4,0.6517868886107425,0.6517868886107425
223,232,Stage 2,Stage 4,0.8342884177762228,0.8342884177762228
227,266,Stage 2,Stage 4,0.7244802264417022,0.7244802264417022
227,268,Stage 2,Stage 4,0.8746251110978637,0.8746251110978637
227,270,Stage 2,Stage 4,0.7244802264417022,0.7244802264417022
227,273,Stage 2,Stage 4,0.8944410255352568,0.8944410255352568
227,281,Stage 2,Stage 4,0.9020143020204584,0.9020143020204584
227,283,Stage 2,Stage 4,0.6219084277243732,0.6219084277243732
230,212,Stage 2,Stage 4,0.8434394632730455,0.8434394632730455
230,242,Stage 2,Stage 4,0.647141386050722,0.647141386050722
230,247,Stage 2,Stage 4,0.8893426483343351,0.8893426483343351
235,185,Stage 2,Stage 4,0.8642681022944091,0.8642681022944091
235,188,Stage 2,Stage 4,0.5997753322493038,0.5997753322493038
235,189,Stage 2,Stage 4,0.6446689690177482,0.6446689690177482
235,196,Stage 2,Stage 4,0.6205878773057801,0.6205878773057801
235,197,Stage 2,Stage 4,0.7462243382352246,0.7462243382352246
235,198,Stage 2,Stage 4,0.6517868886107425,0.6517868886107425
242,189,Stage 4,Stage 2,0.44897537838504237,0.5510246216149578
242,217,Stage 2,Stage 4,0.8947854332115529,0.8947854332115529
242,220,Stage 2,Stage 4,0.6124931794201548,0.6124931794201548
