unit,time,y_true,y_pred,prob_stage4,confidence
13,18,Stage 1,Stage 4,0.9612988005682523,0.9612988005682523
19,105,Stage 2,Stage 3,9.664333278854527e-05,0.6507759390659168
19,107,Stage 3,Stage 2,0.00039978601092708325,0.9128804982109904
19,112,Stage 3,Stage 2,0.00021912757646524108,0.9760288325363755
19,127,Stage 2,Stage 3,7.409673831488604e-05,0.5546116097847869
19,128,Stage 2,Stage 3,0.00013605292066529585,0.6490365670350591
19,129,Stage 2,Stage 3,0.00017278105811580579,0.7003177402704317
19,131,Stage 2,Stage 3,9.733320220028269e-05,0.6715520435445868
19,133,Stage 2,Stage 3,3.6477104705575566e-05,0.8704814221286872
19,134,Stage 2,Stage 3,7.059756829461424e-05,0.6634359003170549
19,137,Stage 2,Stage 3,8.825323377516303e-05,0.6540189004328326
19,138,Stage 2,Stage 3,0.00011165122948402242,0.6299116478134923
19,141,Stage 2,Stage 3,7.484559752576512e-05,0.6148799961405763
19,143,Stage 2,Stage 3,6.888645200063678e-05,0.6249472029776068
19,147,Stage 2,Stage 3,8.87326016263069e-05,0.6156025197439214
19,149,Stage 2,Stage 3,0.0002445516521904111,0.7291629178481996
19,150,Stage 2,Stage 3,0.00010716302145444392,0.7894066433874601
19,151,Stage 2,Stage 3,3.341840554030995e-05,0.7790028737257838
19,153,Stage 2,Stage 3,4.1991239101473326e-05,0.5653773303173634
19,154,Stage 2,Stage 3,1.4102065184017424e-05,0.9601078144412689
19,199,Stage 3,Stage 0,0.001357621367625238,0.8856586823166123
24,101,Stage 4,Stage 1,0.21453061882784882,0.7853066964388644
24,120,Stage 4,Stage 1,0.17659675953528908,0.8232175648508473
24,315,Stage 2,Stage 4,0.8600353687073179,0.8600353687073179
24,335,Stage 4,Stage 2,0.26820418859129797,0.7316207621784532
24,337,Stage 4,Stage 2,0.37618688513513115,0.6235325415807909
24,340,Stage 2,Stage 4,0.7962853378709552,0.7962853378709552
24,342,Stage 2,Stage 4,0.9099718592359038,0.9099718592359038
24,344,Stage 2,Stage 4,0.774859436165235,0.774859436165235
24,345,Stage 4,Stage 2,0.6352052602904458,0.6352052602904458
24,347,Stage 4,Stage 2,0.3853008099927492,0.6143733398873454
24,348,Stage 2,Stage 4,0.8099764008645124,0.8099764008645124
24,350,Stage 2,Stage 4,0.8938889070939353,0.8938889070939353
24,354,Stage 4,Stage 2,0.42937356108673785,0.5699576236064658
24,355,Stage 4,Stage 2,0.4482461528344123,0.5512992318336365
24,356,Stage 4,Stage 2,0.25980125091053324,0.7400067069803873
24,413,Stage 2,Stage 3,0.0003665096988329943,0.5715972477099481
24,414,Stage 3,Stage 2,0.00014236261002964015,0.9366105308448239
24,415,Stage 2,Stage 3,5.702666894491211e-05,0.6694546028902281
24,417,Stage 2,Stage 3,0.00010026146949693084,0.7628912520930426
24,418,Stage 2,Stage 3,0.00021253786535130597,0.7134007404599948
24,424,Stage 2,Stage 3,0.0001137828260755927,0.71375755351829
24,427,Stage 2,Stage 3,0.002847585296035898,0.562607662840157
24,457,Stage 3,Stage 0,0.002314645980281011,0.7714765013033499
24,464,Stage 0,Stage 3,0.0034412937163355835,0.8722817434502816
24,465,Stage 3,Stage 0,0.0059524535720113314,0.49741629536131055
31,17,Stage 4,Stage 1,0.3197546369010343,0.6788822337846382
31,19,Stage 4,Stage 1,0.5660286856974005,0.5660286856974005
31,20,Stage 4,Stage 1,0.5849923038618969,0.5849923038618969
31,21,Stage 4,Stage 1,0.3091800546260819,0.6900649796878432
31,24,Stage 4,Stage 1,0.11219123604269117,0.8874701393361923
31,35,Stage 4,Stage 1,0.2594572370704143,0.7401468723039706
31,57,Stage 4,Stage 1,0.037723240725949986,0.9620738088442201
44,5,Stage 4,Stage 1,0.023864848220437298,0.9753844114740359
44,39,Stage 1,Stage 4,0.6827344683697077,0.6827344683697077
57,6,Stage 2,Stage 4,0.7571124788380876,0.7571124788380876
57,22,Stage 4,Stage 2,0.5171327628429736,0.5171327628429736
57,24,Stage 4,Stage 2,0.14353585872654126,0.8562365797780083
57,26,Stage 4,Stage 2,0.39181450509257143,0.6078882876830616
57,28,Stage 4,Stage 2,0.26125128820367977,0.7385774513099905
57,30,Stage 4,Stage 2,0.11268208109591508,0.886638983226695
57,31,Stage 4,Stage 2,0.02981199409065595,0.9690526311052116
57,33,Stage 4,Stage 2,0.5204041695539648,0.5204041695539648
57,34,Stage 4,Stage 2,0.028724380704046534,0.9702798679992171
57,41,Stage 4,Stage 2,0.12168506265832169,0.8775323320842296
57,56,Stage 4,Stage 2,0.295412254543162,0.7041886358683523
57,141,Stage 3,Stage 2,0.00013253052387610827,0.8869345548802049
57,144,Stage 2,Stage 3,7.559387706745904e-05,0.7311199587817292
