unit,time,y_true,y_pred,prob_stage4,confidence
4,196,Stage 3,Stage 4,0.7484283,0.7484283
4,208,Stage 4,Stage 3,0.47385076,0.523194
4,216,Stage 3,Stage 4,0.5432986,0.5432986
5,135,Stage 4,Stage 3,0.47385076,0.523194
5,149,Stage 3,Stage 4,0.66267365,0.66267365
6,131,Stage 4,Stage 3,0.205046,0.7925481
6,134,Stage 3,Stage 4,0.9041959,0.9041959
6,155,Stage 3,Stage 4,0.5432986,0.5432986
13,185,Stage 4,Stage 3,0.21341345,0.7841986
13,203,Stage 4,Stage 3,0.09090369,0.90740293
19,154,Stage 3,Stage 4,0.5705648,0.5705648
27,151,Stage 3,Stage 4,0.914703,0.914703
27,159,Stage 3,Stage 4,0.9041959,0.9041959
27,169,Stage 3,Stage 4,0.68642145,0.68642145
30,125,Stage 4,Stage 3,0.38602498,0.6110807
30,135,Stage 3,Stage 4,0.8890023,0.8890023
30,149,Stage 3,Stage 4,0.8300867,0.8300867
30,155,Stage 3,Stage 4,0.8300867,0.8300867
31,246,Stage 4,Stage 3,0.205046,0.7925481
31,278,Stage 3,Stage 4,0.5432986,0.5432986
31,293,Stage 4,Stage 3,0.205046,0.7925481
31,297,Stage 3,Stage 4,0.85362685,0.85362685
31,319,Stage 3,Stage 4,0.68642145,0.68642145
31,327,Stage 3,Stage 4,0.5432986,0.5432986
31,339,Stage 3,Stage 4,0.5432986,0.5432986
42,51,Stage 4,Stage 3,0.38602498,0.6110807
42,53,Stage 4,Stage 3,0.47385076,0.523194
42,79,Stage 3,Stage 4,0.8167177,0.8167177
42,120,Stage 3,Stage 4,0.85362685,0.85362685
42,175,Stage 3,Stage 4,0.66267365,0.66267365
42,193,Stage 3,Stage 4,0.66267365,0.66267365
42,208,Stage 3,Stage 4,0.5705648,0.5705648
47,176,Stage 3,Stage 4,0.90228385,0.90228385
47,226,Stage 3,Stage 4,0.5705648,0.5705648
47,243,Stage 3,Stage 4,0.85362685,0.85362685
61,204,Stage 3,Stage 4,0.90561044,0.90561044
62,148,Stage 3,Stage 4,0.7484283,0.7484283
62,150,Stage 3,Stage 4,0.5705648,0.5705648
62,151,Stage 3,Stage 4,0.66267365,0.66267365
62,157,Stage 3,Stage 4,0.7484283,0.7484283
63,124,Stage 3,Stage 4,0.90228385,0.90228385
63,136,Stage 3,Stage 4,0.6696936,0.6696936
63,144,Stage 3,Stage 4,0.5705648,0.5705648
63,153,Stage 3,Stage 4,0.5432986,0.5432986
63,155,Stage 4,Stage 3,0.21341345,0.7841986
64,177,Stage 3,Stage 4,0.7484283,0.7484283
64,225,Stage 4,Stage 3,0.38602498,0.6110807
64,229,Stage 3,Stage 4,0.5705648,0.5705648
64,243,Stage 3,Stage 4,0.66267365,0.66267365
64,245,Stage 4,Stage 3,0.09090369,0.90740293
64,246,Stage 3,Stage 4,0.8167177,0.8167177
64,257,Stage 3,Stage 4,0.66267365,0.66267365
69,111,Stage 3,Stage 4,0.6696936,0.6696936
69,130,Stage 3,Stage 4,0.66267365,0.66267365
78,112,Stage 3,Stage 4,0.88971496,0.88971496
78,138,Stage 3,Stage 4,0.7484283,0.7484283
78,139,Stage 3,Stage 4,0.5432986,0.5432986
78,145,Stage 3,Stage 4,0.5432986,0.5432986
78,146,Stage 3,Stage 4,0.5705648,0.5705648
87,145,Stage 3,Stage 4,0.66267365,0.66267365
93,123,Stage 3,Stage 4,0.96395373,0.96395373
93,125,Stage 4,Stage 3,0.205046,0.7925481
93,126,Stage 3,Stage 4,0.90561044,0.90561044
93,141,Stage 4,Stage 3,0.47385076,0.523194
93,149,Stage 4,Stage 3,0.09090369,0.90740293
93,155,Stage 3,Stage 4,0.6696936,0.6696936
93,176,Stage 3,Stage 4,0.5432986,0.5432986
113,81,Stage 4,Stage 3,0.38602498,0.6110807
113,138,Stage 3,Stage 4,0.83043635,0.83043635
113,140,Stage 3,Stage 4,0.9539477,0.9539477
113,153,Stage 4,Stage 3,0.21341345,0.7841986
113,169,Stage 3,Stage 4,0.5432986,0.5432986
113,176,Stage 3,Stage 4,0.5705648,0.5705648
113,180,Stage 3,Stage 4,0.6696936,0.6696936
113,204,Stage 3,Stage 4,0.5432986,0.5432986
113,209,Stage 3,Stage 4,0.66267365,0.66267365
113,215,Stage 3,Stage 4,0.5432986,0.5432986
123,202,Stage 3,Stage 4,0.5432986,0.5432986
123,218,Stage 3,Stage 4,0.6696936,0.6696936
125,137,Stage 3,Stage 4,0.57769203,0.57769203
125,142,Stage 3,Stage 4,0.66267365,0.66267365
125,145,Stage 4,Stage 3,0.47385076,0.523194
127,226,Stage 3,Stage 4,0.83043635,0.83043635
130,28,Stage 3,Stage 4,0.98884016,0.98884016
130,112,Stage 3,Stage 4,0.90561044,0.90561044
130,127,Stage 4,Stage 3,0.38602498,0.6110807
130,152,Stage 3,Stage 4,0.90228385,0.90228385
130,154,Stage 3,Stage 4,0.5705648,0.5705648
145,223,Stage 3,Stage 4,0.914703,0.914703
145,232,Stage 3,Stage 4,0.66267365,0.66267365
145,250,Stage 3,Stage 4,0.7484283,0.7484283
152,116,Stage 4,Stage 3,0.21341345,0.7841986
152,135,Stage 4,Stage 3,0.21341345,0.7841986
152,158,Stage 4,Stage 3,0.47385076,0.523194
152,161,Stage 3,Stage 4,0.85362685,0.85362685
152,165,Stage 4,Stage 3,0.38602498,0.6110807
153,149,Stage 3,Stage 4,0.5432986,0.5432986
153,239,Stage 3,Stage 4,0.5432986,0.5432986
153,245,Stage 4,Stage 3,0.38602498,0.6110807
153,246,Stage 3,Stage 4,0.85362685,0.85362685
153,255,Stage 4,Stage 3,0.21341345,0.7841986
153,266,Stage 3,Stage 4,0.57769203,0.57769203
153,276,Stage 3,Stage 4,0.66267365,0.66267365
155,197,Stage 3,Stage 4,0.88971496,0.88971496
155,206,Stage 3,Stage 4,0.57769203,0.57769203
155,208,Stage 3,Stage 4,0.85362685,0.85362685
155,213,Stage 3,Stage 4,0.85362685,0.85362685
159,116,Stage 4,Stage 3,0.205046,0.7925481
159,184,Stage 4,Stage 3,0.38602498,0.6110807
159,188,Stage 4,Stage 3,0.47385076,0.523194
159,217,Stage 3,Stage 4,0.5432986,0.5432986
174,28,Stage 3,Stage 4,0.9808611,0.9808611
174,37,Stage 3,Stage 4,0.68642145,0.68642145
174,59,Stage 4,Stage 3,0.205046,0.7925481
174,97,Stage 3,Stage 4,0.5705648,0.5705648
174,99,Stage 3,Stage 4,0.8300867,0.8300867
174,161,Stage 4,Stage 3,0.38602498,0.6110807
174,165,Stage 3,Stage 4,0.90561044,0.90561044
174,172,Stage 3,Stage 4,0.5705648,0.5705648
174,173,Stage 3,Stage 4,0.66267365,0.66267365
174,175,Stage 3,Stage 4,0.57769203,0.57769203
179,74,Stage 4,Stage 3,0.38602498,0.6110807
179,119,Stage 3,Stage 4,0.85362685,0.85362685
179,127,Stage 3,Stage 4,0.85362685,0.85362685
179,171,Stage 3,Stage 4,0.5705648,0.5705648
187,99,Stage 3,Stage 4,0.9549008,0.9549008
187,145,Stage 4,Stage 3,0.47385076,0.523194
187,148,Stage 3,Stage 4,0.57769203,0.57769203
187,155,Stage 4,Stage 3,0.38602498,0.6110807
193,81,Stage 3,Stage 4,0.9784424,0.9784424
193,85,Stage 3,Stage 4,0.97841716,0.97841716
193,114,Stage 4,Stage 3,0.47385076,0.523194
193,126,Stage 3,Stage 4,0.57769203,0.57769203
193,151,Stage 3,Stage 4,0.7484283,0.7484283
193,158,Stage 3,Stage 4,0.5432986,0.5432986
200,146,Stage 3,Stage 4,0.8898399,0.8898399
200,189,Stage 3,Stage 4,0.6696936,0.6696936
200,203,Stage 3,Stage 4,0.7484283,0.7484283
200,224,Stage 3,Stage 4,0.5705648,0.5705648
203,2,Stage 3,Stage 4,0.95694244,0.95694244
203,17,Stage 3,Stage 4,0.9539477,0.9539477
203,59,Stage 4,Stage 3,0.21341345,0.7841986
203,103,Stage 3,Stage 4,0.66267365,0.66267365
203,115,Stage 3,Stage 4,0.91455215,0.91455215
203,137,Stage 3,Stage 4,0.6696936,0.6696936
203,186,Stage 3,Stage 4,0.85362685,0.85362685
203,195,Stage 3,Stage 4,0.5432986,0.5432986
203,207,Stage 3,Stage 4,0.5432986,0.5432986
203,223,Stage 4,Stage 3,0.21341345,0.7841986
208,126,Stage 4,Stage 3,0.21341345,0.7841986
208,131,Stage 3,Stage 4,0.5432986,0.5432986
214,96,Stage 4,Stage 3,0.21341345,0.7841986
214,104,Stage 4,Stage 3,0.38602498,0.6110807
214,107,Stage 3,Stage 4,0.9583132,0.9583132
214,114,Stage 4,Stage 3,0.21341345,0.7841986
214,122,Stage 3,Stage 4,0.5432986,0.5432986
214,124,Stage 3,Stage 4,0.5432986,0.5432986
214,140,Stage 3,Stage 4,0.8167177,0.8167177
217,129,Stage 4,Stage 3,0.205046,0.7925481
217,146,Stage 3,Stage 4,0.8890023,0.8890023
219,131,Stage 3,Stage 4,0.7484283,0.7484283
228,179,Stage 3,Stage 4,0.6696936,0.6696936
228,187,Stage 3,Stage 4,0.90561044,0.90561044
228,190,Stage 3,Stage 4,0.5705648,0.5705648
228,201,Stage 3,Stage 4,0.6696936,0.6696936
228,211,Stage 3,Stage 4,0.5705648,0.5705648
228,217,Stage 3,Stage 4,0.8300867,0.8300867
228,218,Stage 3,Stage 4,0.97841716,0.97841716
229,128,Stage 3,Stage 4,0.5705648,0.5705648
229,142,Stage 3,Stage 4,0.5705648,0.5705648
229,152,Stage 3,Stage 4,0.5432986,0.5432986
229,159,Stage 3,Stage 4,0.57769203,0.57769203
230,133,Stage 4,Stage 3,0.38602498,0.6110807
230,157,Stage 4,Stage 3,0.09090369,0.90740293
230,185,Stage 3,Stage 4,0.5432986,0.5432986
231,96,Stage 4,Stage 3,0.47385076,0.523194
235,146,Stage 3,Stage 4,0.5705648,0.5705648
235,150,Stage 3,Stage 4,0.57769203,0.57769203
235,168,Stage 3,Stage 4,0.5432986,0.5432986
239,147,Stage 3,Stage 4,0.5705648,0.5705648
239,197,Stage 4,Stage 3,0.47385076,0.523194
239,221,Stage 3,Stage 4,0.7484283,0.7484283
239,227,Stage 3,Stage 4,0.8898399,0.8898399
242,206,Stage 4,Stage 3,0.205046,0.7925481
242,256,Stage 3,Stage 4,0.90228385,0.90228385
242,257,Stage 4,Stage 3,0.38602498,0.6110807
242,271,Stage 3,Stage 4,0.90561044,0.90561044
249,167,Stage 3,Stage 4,0.88971496,0.88971496
249,172,Stage 3,Stage 4,0.66267365,0.66267365
249,182,Stage 3,Stage 4,0.85362685,0.85362685
249,193,Stage 3,Stage 4,0.57769203,0.57769203
255,226,Stage 4,Stage 3,0.21341345,0.7841986
255,264,Stage 3,Stage 4,0.8890023,0.8890023
255,271,Stage 3,Stage 4,0.5432986,0.5432986
255,292,Stage 3,Stage 4,0.90228385,0.90228385
255,294,Stage 3,Stage 4,0.90561044,0.90561044
255,298,Stage 3,Stage 4,0.5432986,0.5432986
255,308,Stage 4,Stage 3,0.205046,0.7925481
260,285,Stage 3,Stage 4,0.90228385,0.90228385
260,293,Stage 3,Stage 4,0.5705648,0.5705648
260,304,Stage 3,Stage 4,0.66267365,0.66267365
